Galaxy,Filter,z,t_L (Gyr),λ rf (μm),μ (deg),Δμ (deg),l_ψ (deg),l_ψ err,Luminosity fraction,w (kpc),w err,r_end (kpc),r_end err,h_s (kpc),h_s err,W_i,S,S err
EGS21891,F150W,1.126,8.18,0.706,35.6,59.9,70.2,1.0,0.042,1.592,0.029,10.246,0.186,2.666,0.061,5.2,-0.41,0.04
EGS21891,F150W,1.126,8.18,0.706,20.9,44.2,198.9,4.0,0.048,1.134,0.05,4.214,0.0,1.248,0.058,0.37,-0.49,0.03
EGS21891,F200W,1.126,8.18,0.936,23.7,7.9,164.5,2.3,0.125,2.146,0.041,7.428,0.212,14.697,0.877,12.83,-0.08,0.04
EGS21891,F200W,1.126,8.18,0.936,17.8,30.0,100.9,0.6,0.07,0.944,0.019,7.507,0.065,18.831,2.18,7.5,-0.23,0.02
EGS21891,F200W,1.126,8.18,0.936,19.0,1.3,195.8,1.8,0.064,1.77,0.055,4.248,0.0,4.706,0.207,1.05,-0.5,0.0
EGS21891,F200W,1.126,8.18,0.936,37.8,42.8,62.2,0.9,0.043,1.605,0.061,8.855,0.133,3.035,0.083,5.48,-0.44,0.05
EGS21891,F200W,1.126,8.18,0.936,28.0,27.6,183.4,3.4,0.037,1.052,0.024,3.905,0.174,1.156,0.045,1.12,0.04,0.16
EGS21891,F277W,1.126,8.18,1.31,14.5,24.5,197.0,1.2,0.183,3.204,0.0,7.317,0.0,18.941,2.357,6.52,-0.24,0.02
EGS21891,F277W,1.126,8.18,1.31,21.4,7.8,97.1,1.3,0.076,1.301,0.026,7.252,0.103,19.557,2.867,3.32,0.05,0.04
EGS21891,F277W,1.126,8.18,1.31,19.0,-21.0,234.5,5.4,0.089,2.065,0.073,4.205,0.0,5.675,0.298,1.84,-0.49,0.04
EGS21891,F277W,1.126,8.18,1.31,11.4,-1.8,103.3,1.1,0.076,3.244,0.0,7.26,0.0,1.928,0.104,17.04,-0.43,0.03
EGS21891,F277W,1.126,8.18,1.31,28.2,51.3,199.8,7.5,0.059,0.842,0.084,4.019,0.557,0.82,0.041,0.37,0.41,0.17
EGS21891,F356W,1.126,8.18,1.676,12.3,27.3,200.9,3.4,0.154,2.9,0.0,7.242,0.0,16.025,1.887,7.95,-0.27,0.03
EGS21891,F356W,1.126,8.18,1.676,18.7,21.5,118.4,1.8,0.079,1.147,0.026,7.373,0.08,20.288,2.61,3.71,-0.2,0.04
EGS21891,F356W,1.126,8.18,1.676,25.0,10.2,190.0,2.8,0.083,1.908,0.053,4.493,0.253,4.474,0.196,2.58,-0.18,0.07
EGS21891,F356W,1.126,8.18,1.676,37.7,21.1,73.2,2.2,0.047,1.822,0.128,9.316,0.27,2.979,0.1,6.06,-0.5,0.0
EGS21891,F356W,1.126,8.18,1.676,33.1,-21.9,182.5,5.2,0.099,1.237,0.22,3.238,0.402,0.601,0.035,0.52,0.1,0.21
EGS21891,F410M,1.126,8.18,1.925,-1.6,40.7,209.0,0.5,0.106,1.748,0.053,6.832,0.0,4.521,0.275,4.97,0.38,0.05
EGS21891,F410M,1.126,8.18,1.925,4.7,9.0,104.8,3.4,0.081,1.22,0.067,5.433,0.389,4.158,0.621,14.62,-0.2,0.17
EGS21891,F410M,1.126,8.18,1.925,22.1,26.3,190.4,4.4,0.039,0.523,0.052,5.439,0.102,4.321,0.396,0.37,-0.5,0.0
EGS21891,F410M,1.126,8.18,1.925,29.3,57.8,60.5,2.8,0.049,2.548,0.0,8.675,0.375,2.683,0.177,11.87,-0.5,0.0
EGS21891,F410M,1.126,8.18,1.925,28.8,49.6,157.8,4.2,0.069,0.764,0.178,3.778,0.0,2.384,0.757,0.37,0.06,0.24
EGS21891,F444W,1.126,8.18,2.08,1.5,49.3,175.0,3.3,0.081,2.176,0.041,7.091,0.0,3.565,0.309,6.08,0.5,0.0
EGS21891,F444W,1.126,8.18,2.08,4.4,15.6,101.1,5.3,0.073,1.269,0.078,5.723,0.174,4.025,0.447,12.12,-0.18,0.08
EGS21891,F444W,1.126,8.18,2.08,25.4,33.0,185.1,2.6,0.04,0.552,0.154,5.534,0.178,3.673,0.202,0.37,-0.28,0.42
EGS21891,F444W,1.126,8.18,2.08,35.5,63.8,58.0,0.7,0.046,2.328,0.175,10.122,0.331,2.783,0.144,9.54,-0.5,0.0
EGS21891,F444W,1.126,8.18,2.08,27.3,54.5,174.8,2.0,0.096,1.027,0.057,2.501,0.237,1.348,0.049,0.37,0.5,0.0
EGS24154,F115W,1.174,8.34,0.531,21.7,0.0,54.2,0.0,0.006,0.852,0.049,9.901,0.054,1.985,0.22,1.0,0.0,0.0
EGS24154,F115W,1.174,8.34,0.531,23.2,18.5,153.6,2.6,0.061,5.6,0.135,21.56,0.0,7.362,0.312,2.72,-0.5,0.0
EGS24154,F115W,1.174,8.34,0.531,16.1,-9.1,182.8,2.0,0.065,1.484,0.013,15.49,0.909,2.017,0.016,2.72,0.36,0.02
EGS24154,F115W,1.174,8.34,0.531,19.8,14.7,157.7,1.3,0.073,2.251,0.022,9.302,0.138,2.865,0.051,0.62,0.5,0.0
EGS24154,F150W,1.174,8.34,0.69,15.1,0.0,85.5,1.8,0.018,1.897,0.036,9.756,0.076,2.129,0.143,1.0,0.0,0.0
EGS24154,F150W,1.174,8.34,0.69,23.2,-13.2,243.9,3.1,0.051,2.491,0.036,21.646,0.0,4.274,0.078,2.72,-0.01,0.03
EGS24154,F150W,1.174,8.34,0.69,16.2,9.8,214.4,1.0,0.072,2.007,0.016,18.89,0.0,2.109,0.013,2.72,0.11,0.02
EGS24154,F150W,1.174,8.34,0.69,19.8,15.8,163.7,0.7,0.05,1.935,0.024,9.681,0.104,3.955,0.101,0.57,0.35,0.02
EGS24154,F200W,1.174,8.34,0.915,14.9,0.0,91.4,1.4,0.02,2.146,0.031,9.482,0.064,2.01,0.1,1.0,0.0,0.0
EGS24154,F200W,1.174,8.34,0.915,22.7,-6.7,230.3,2.5,0.084,3.298,0.058,22.022,0.0,3.215,0.028,1.02,-0.14,0.02
EGS24154,F200W,1.174,8.34,0.915,16.0,8.0,215.6,0.8,0.119,4.727,0.072,19.224,0.0,1.927,0.009,0.63,-0.5,0.01
EGS24154,F200W,1.174,8.34,0.915,16.4,48.6,171.7,1.0,0.032,1.75,0.028,12.172,0.146,7.732,0.32,1.09,-0.28,0.03
EGS24154,F277W,1.174,8.34,1.282,15.4,0.0,84.0,2.3,0.015,1.891,0.048,9.166,0.092,1.637,0.124,1.0,0.0,0.0
EGS24154,F277W,1.174,8.34,1.282,25.7,6.3,233.4,2.3,0.115,3.899,0.054,22.017,0.0,2.801,0.019,2.72,-0.3,0.01
EGS24154,F277W,1.174,8.34,1.282,19.0,-25.5,193.0,6.4,0.106,3.824,0.088,14.839,1.972,1.542,0.03,0.4,-0.5,0.0
EGS24154,F277W,1.174,8.34,1.282,15.9,33.8,176.6,1.0,0.068,3.121,0.03,8.757,0.221,23.42,2.832,2.72,0.5,0.0
EGS24154,F356W,1.174,8.34,1.639,17.2,0.0,89.1,2.1,0.02,2.182,0.048,9.345,0.092,2.172,0.15,1.0,0.0,0.0
EGS24154,F356W,1.174,8.34,1.639,21.9,-21.3,275.8,6.6,0.122,3.992,0.061,22.03,0.0,2.827,0.019,2.72,-0.26,0.02
EGS24154,F356W,1.174,8.34,1.639,20.5,-17.9,202.7,7.9,0.104,3.427,0.1,16.783,2.877,1.512,0.035,0.37,-0.5,0.0
EGS24154,F356W,1.174,8.34,1.639,16.7,37.1,177.3,1.0,0.072,3.07,0.029,9.268,0.227,33.244,6.01,2.72,0.5,0.0
EGS24154,F410M,1.174,8.34,1.882,20.2,0.0,91.9,1.3,0.024,2.239,0.044,9.685,0.069,3.147,0.218,1.0,0.0,0.0
EGS24154,F410M,1.174,8.34,1.882,22.6,-29.6,240.0,2.3,0.104,3.073,0.032,15.329,0.363,2.238,0.017,2.72,-0.29,0.01
EGS24154,F410M,1.174,8.34,1.882,17.0,-46.0,172.6,1.7,0.092,3.072,0.051,10.757,0.236,1.407,0.036,0.37,-0.5,0.0
EGS24154,F410M,1.174,8.34,1.882,16.4,36.0,179.8,0.8,0.071,2.952,0.024,8.874,0.186,34.043,0.0,2.72,0.5,0.0
EGS24154,F444W,1.174,8.34,2.034,20.3,0.0,90.7,1.9,0.022,2.159,0.048,9.854,0.096,2.836,0.204,1.0,0.0,0.0
EGS24154,F444W,1.174,8.34,2.034,20.9,-28.3,268.7,4.7,0.105,3.457,0.039,17.85,0.851,2.075,0.021,2.72,-0.36,0.01
EGS24154,F444W,1.174,8.34,2.034,17.7,-41.3,178.7,2.9,0.093,3.167,0.041,12.227,0.484,1.416,0.038,0.37,-0.5,0.0
EGS24154,F444W,1.174,8.34,2.034,15.2,29.2,181.8,1.1,0.069,2.776,0.028,8.323,0.191,33.918,0.0,2.72,0.5,0.0
EGS26748,F115W,1.204,8.44,0.524,23.7,-1.5,296.6,1.4,0.25,2.242,0.014,11.533,0.181,5.394,0.102,1.73,0.25,0.0
EGS26748,F115W,1.204,8.44,0.524,12.9,-35.6,376.7,2.6,0.202,1.949,0.019,8.546,0.062,6.763,0.12,2.57,0.04,0.02
EGS26748,F150W,1.204,8.44,0.681,23.4,-19.0,300.6,1.0,0.227,2.496,0.018,10.816,0.186,4.969,0.1,1.31,0.25,0.0
EGS26748,F150W,1.204,8.44,0.681,13.4,-38.0,353.8,1.0,0.176,2.083,0.018,8.345,0.054,11.022,0.288,2.54,0.04,0.02
EGS26748,F200W,1.204,8.44,0.903,23.2,-19.2,300.9,0.9,0.207,2.544,0.021,11.081,0.147,3.865,0.061,1.21,0.25,0.0
EGS26748,F200W,1.204,8.44,0.903,13.6,-36.1,349.7,2.2,0.134,1.772,0.021,8.33,0.072,6.318,0.129,2.29,0.11,0.02
EGS26748,F277W,1.204,8.44,1.264,23.6,-1.4,391.6,1.9,0.229,2.151,0.022,11.681,0.0,4.603,0.068,2.17,0.25,0.0
EGS26748,F277W,1.204,8.44,1.264,7.8,-29.2,354.0,1.1,0.235,3.281,0.0,6.822,0.0,1.079,0.015,10.28,0.5,0.0
EGS26748,F356W,1.204,8.44,1.617,22.0,-25.0,281.6,1.2,0.231,2.926,0.019,10.126,0.164,3.01,0.057,1.05,0.25,0.0
EGS26748,F356W,1.204,8.44,1.617,9.9,-26.3,360.5,2.7,0.168,2.513,0.072,6.829,0.0,10.821,0.56,1.19,-0.5,0.0
EGS26748,F410M,1.204,8.44,1.857,26.6,-8.8,356.5,4.1,0.3,2.689,0.0,11.851,0.0,3.406,0.034,2.78,0.2,0.01
EGS26748,F410M,1.204,8.44,1.857,8.6,-29.3,361.3,1.3,0.247,2.975,0.0,6.781,0.0,1.072,0.015,11.87,0.5,0.0
EGS26748,F444W,1.204,8.44,2.006,26.0,-28.1,359.9,0.8,0.266,2.55,0.025,11.824,0.0,4.43,0.055,1.74,0.25,0.0
EGS26748,F444W,1.204,8.44,2.006,8.0,-32.6,346.2,1.4,0.241,2.918,0.0,6.839,0.0,1.082,0.017,13.51,0.5,0.0
EGS10221,F115W,1.228,8.52,0.518,7.9,-64.6,84.5,0.4,0.26,2.123,0.028,6.164,0.071,2.089,0.013,0.37,0.38,0.02
EGS10221,F115W,1.228,8.52,0.518,18.0,-28.6,110.8,2.5,0.135,2.056,0.094,9.178,0.517,1.912,0.117,1.0,0.07,0.16
EGS10221,F150W,1.228,8.52,0.674,16.9,-49.1,106.0,2.4,0.213,1.835,0.046,6.712,0.171,2.537,0.088,0.37,0.32,0.04
EGS10221,F150W,1.228,8.52,0.674,19.3,-9.8,133.1,3.4,0.149,1.882,0.063,8.528,0.437,2.69,0.248,1.51,-0.5,0.0
EGS10221,F200W,1.228,8.52,0.893,12.3,-30.8,116.3,2.0,0.163,1.745,0.043,6.539,0.157,2.562,0.189,0.4,0.28,0.13
EGS10221,F200W,1.228,8.52,0.893,23.8,33.2,140.6,8.4,0.102,1.402,0.084,10.818,3.136,1.712,0.08,0.57,0.35,0.08
JADES131726,F182M,1.37,8.93,0.778,12.1,-38.9,96.6,2.4,0.032,2.412,0.058,8.008,0.111,1.23,0.072,1.0,0.0,0.0
JADES131726,F182M,1.37,8.93,0.778,17.3,-27.5,222.9,2.8,0.161,2.992,0.025,8.86,0.205,21.531,2.412,2.72,0.25,0.0
JADES131726,F182M,1.37,8.93,0.778,16.9,-50.4,280.4,3.1,0.128,2.372,0.038,4.299,0.227,2.852,0.033,2.72,-0.23,0.02
JADES131726,F210M,1.37,8.93,0.883,9.0,-48.7,93.5,1.6,0.026,1.994,0.053,7.19,0.1,1.333,0.104,1.0,0.0,0.0
JADES131726,F210M,1.37,8.93,0.883,16.7,-22.5,232.0,2.8,0.147,2.786,0.025,8.661,0.181,18.275,1.872,2.19,0.25,0.0
JADES131726,F210M,1.37,8.93,0.883,23.5,-6.5,255.4,2.0,0.124,2.039,0.026,7.912,0.193,2.84,0.031,2.72,-0.25,0.0
JADES131726,F444W,1.37,8.93,1.865,12.0,-15.7,87.4,2.2,0.015,1.978,0.081,8.392,0.126,1.192,0.091,1.0,0.0,0.0
JADES131726,F444W,1.37,8.93,1.865,16.4,-30.2,213.7,3.4,0.157,3.079,0.023,7.769,0.145,8.404,0.282,1.6,0.25,0.0
JADES131726,F444W,1.37,8.93,1.865,22.4,21.8,234.5,1.4,0.16,2.29,0.024,8.081,0.094,10.509,1.13,2.72,-0.25,0.0
EGS13670,F115W,1.416,9.06,0.478,43.0,63.5,121.6,0.6,0.026,0.858,0.034,7.483,0.087,4.017,0.27,1.0,0.0,0.0
EGS13670,F115W,1.416,9.06,0.478,33.7,-21.9,92.2,1.6,0.071,1.393,0.046,10.997,0.426,3.601,0.112,1.01,0.5,0.0
EGS13670,F115W,1.416,9.06,0.478,14.0,0.4,156.1,0.5,0.35,1.94,0.021,9.758,0.095,7.607,0.303,0.56,-0.27,0.01
EGS13670,F150W,1.416,9.06,0.621,41.9,57.4,119.3,1.2,0.025,0.872,0.034,7.233,0.129,4.282,0.233,1.0,0.0,0.0
EGS13670,F150W,1.416,9.06,0.621,33.4,-6.5,105.2,1.9,0.067,1.118,0.04,12.509,0.557,3.611,0.096,1.35,0.5,0.0
EGS13670,F150W,1.416,9.06,0.621,15.7,-10.0,166.9,0.6,0.306,2.16,0.032,10.378,0.107,6.587,0.206,0.37,-0.33,0.01
EGS13670,F200W,1.416,9.06,0.824,41.9,36.2,141.8,1.6,0.034,1.135,0.035,7.64,0.104,3.576,0.11,1.0,0.0,0.0
EGS13670,F200W,1.416,9.06,0.824,28.0,-12.5,132.5,1.1,0.076,1.95,0.034,14.372,0.0,2.414,0.031,4.59,-0.18,0.04
EGS13670,F200W,1.416,9.06,0.824,16.3,0.4,236.4,1.7,0.279,2.139,0.022,14.944,0.0,1.76,0.018,0.37,-0.39,0.02
EGS13670,F277W,1.416,9.06,1.153,14.1,67.7,151.4,7.2,0.067,2.668,0.164,6.395,0.768,6.735,5.937,1.0,0.0,0.0
EGS13670,F277W,1.416,9.06,1.153,18.4,-45.8,216.1,1.8,0.113,1.824,0.11,5.79,0.47,7.281,0.553,2.39,-0.04,0.07
EGS13670,F277W,1.416,9.06,1.153,18.0,13.4,211.0,4.1,0.263,2.207,0.079,14.954,0.0,1.716,0.037,0.38,-0.12,0.05
EGS13670,F356W,1.416,9.06,1.475,7.8,62.1,158.3,2.8,0.089,2.738,0.0,5.562,0.186,6.445,2.107,1.0,0.0,0.0
EGS13670,F356W,1.416,9.06,1.475,15.0,-58.4,226.8,2.3,0.111,1.93,0.068,4.793,0.337,4.385,0.101,2.96,-0.2,0.04
EGS13670,F356W,1.416,9.06,1.475,18.5,11.0,196.6,3.1,0.219,2.214,0.037,13.521,0.629,1.773,0.026,0.62,0.2,0.03
EGS13670,F410M,1.416,9.06,1.694,6.9,61.7,154.6,2.1,0.094,2.68,0.0,5.365,0.141,7.885,4.372,1.0,0.0,0.0
EGS13670,F410M,1.416,9.06,1.694,14.9,-58.7,224.5,1.7,0.105,1.856,0.029,4.785,0.0,3.941,0.059,4.17,-0.28,0.02
EGS13670,F410M,1.416,9.06,1.694,18.1,7.6,195.5,2.7,0.214,2.192,0.031,13.053,0.571,1.737,0.023,0.65,0.25,0.03
EGS13670,F444W,1.416,9.06,1.83,6.9,62.0,139.4,2.6,0.075,2.68,0.0,4.705,0.152,6.172,3.536,1.0,0.0,0.0
EGS13670,F444W,1.416,9.06,1.83,15.1,-57.7,221.2,1.7,0.105,1.834,0.032,4.805,0.0,4.1,0.071,4.39,-0.3,0.02
EGS13670,F444W,1.416,9.06,1.83,17.8,0.3,189.2,2.4,0.233,2.52,0.038,12.185,0.417,1.764,0.024,0.37,0.09,0.02
EGS25879,F115W,1.47,9.19,0.467,34.0,-66.2,182.0,4.0,0.089,2.951,0.137,14.744,0.0,7.021,0.126,11.83,-0.5,0.0
EGS25879,F115W,1.47,9.19,0.467,16.1,-46.5,175.1,1.7,0.111,1.948,0.041,10.251,0.347,2.174,0.027,8.64,0.5,0.0
EGS25879,F115W,1.47,9.19,0.467,31.8,-46.9,252.9,6.1,0.072,1.685,0.111,11.897,0.0,2.068,0.036,6.44,-0.5,0.0
EGS25879,F150W,1.47,9.19,0.608,33.5,-69.3,226.5,1.7,0.096,3.537,0.0,15.404,0.0,8.603,0.129,11.83,-0.5,0.0
EGS25879,F150W,1.47,9.19,0.608,21.8,-41.3,200.7,2.1,0.123,1.497,0.045,13.097,0.38,2.683,0.03,5.55,0.32,0.05
EGS25879,F150W,1.47,9.19,0.608,25.6,-58.1,264.2,3.6,0.096,1.886,0.06,11.934,0.0,3.159,0.031,6.62,-0.43,0.05
EGS25879,F200W,1.47,9.19,0.806,35.1,-76.7,228.3,1.4,0.09,3.308,0.0,15.38,0.0,6.674,0.066,10.59,-0.39,0.02
EGS25879,F200W,1.47,9.19,0.806,25.3,-28.1,248.1,1.2,0.192,2.437,0.047,17.342,0.0,3.172,0.019,8.53,-0.39,0.01
EGS25879,F200W,1.47,9.19,0.806,17.5,-42.3,346.7,0.0,0.158,3.617,0.054,14.743,0.531,3.031,0.021,12.28,-0.5,0.0
EGS25879,F277W,1.47,9.19,1.128,36.4,-70.3,147.5,1.7,0.064,3.106,0.0,16.246,0.0,5.367,0.065,4.94,0.43,0.03
EGS25879,F277W,1.47,9.19,1.128,26.1,-4.8,222.7,1.1,0.211,3.213,0.081,19.066,0.0,2.766,0.021,7.15,-0.46,0.01
EGS25879,F277W,1.47,9.19,1.128,27.6,-3.7,246.8,1.9,0.146,3.422,0.0,20.068,0.0,2.413,0.024,6.83,-0.36,0.04
EGS25879,F356W,1.47,9.19,1.442,38.3,-64.7,137.7,1.2,0.06,3.055,0.0,15.501,0.0,4.213,0.053,4.62,0.5,0.0
EGS25879,F356W,1.47,9.19,1.442,25.4,2.2,215.6,1.3,0.225,3.47,0.106,18.312,0.0,2.989,0.027,8.48,-0.5,0.01
EGS25879,F356W,1.47,9.19,1.442,25.9,-7.0,222.6,3.0,0.141,3.501,0.0,17.461,1.102,2.104,0.025,11.37,-0.47,0.04
EGS25879,F410M,1.47,9.19,1.657,42.7,-70.5,132.5,1.0,0.061,2.751,0.0,17.168,0.0,5.497,0.056,4.62,0.5,0.0
EGS25879,F410M,1.47,9.19,1.657,26.6,-1.9,217.1,1.2,0.221,3.316,0.037,20.383,0.0,2.542,0.02,7.31,-0.5,0.0
EGS25879,F410M,1.47,9.19,1.657,26.2,-10.3,241.2,5.1,0.142,3.36,0.0,20.269,2.749,1.88,0.028,0.89,-0.23,0.05
EGS25879,F444W,1.47,9.19,1.79,42.1,-70.9,132.2,1.3,0.058,2.749,0.0,16.963,0.0,5.243,0.068,4.62,0.5,0.0
EGS25879,F444W,1.47,9.19,1.79,25.4,-19.3,206.4,1.6,0.223,3.226,0.12,17.087,0.808,2.658,0.027,5.46,-0.5,0.02
EGS25879,F444W,1.47,9.19,1.79,26.0,-30.1,224.4,5.3,0.136,3.33,0.0,16.069,1.543,1.834,0.032,2.48,-0.07,0.06
JADES156224,F182M,1.52,9.31,0.732,13.8,-41.9,260.9,2.5,0.258,2.406,0.0,3.645,0.0,1.909,0.03,13.39,-0.39,0.01
JADES156224,F182M,1.52,9.31,0.732,15.4,2.1,316.2,1.3,0.074,1.216,0.024,5.542,0.121,2.671,0.111,1.29,0.47,0.04
JADES156224,F210M,1.52,9.31,0.831,15.0,-46.1,262.9,2.1,0.271,2.331,0.0,4.369,0.226,1.967,0.03,11.79,-0.37,0.01
JADES156224,F210M,1.52,9.31,0.831,14.2,12.1,311.7,3.2,0.059,0.974,0.026,5.56,0.083,3.727,0.283,0.37,0.5,0.0
JADES156224,F444W,1.52,9.31,1.754,15.1,-0.0,231.8,1.1,0.206,1.251,0.027,4.721,0.105,3.032,0.053,2.9,0.5,0.0
JADES156224,F444W,1.52,9.31,1.754,20.6,-49.2,104.3,2.8,0.046,0.869,0.098,2.659,0.0,2.117,0.715,1.17,0.5,0.0
EGS23259,F115W,1.533,9.34,0.456,9.9,20.3,127.2,2.4,0.031,0.97,0.029,5.627,0.23,3.216,0.514,1.0,0.0,0.0
EGS23259,F115W,1.533,9.34,0.456,36.1,-63.9,102.5,0.4,0.245,1.361,0.032,4.631,0.0,36.626,6.822,2.21,0.22,0.03
EGS23259,F115W,1.533,9.34,0.456,29.6,-48.5,150.4,3.3,0.099,1.859,0.047,12.32,0.0,2.039,0.026,2.8,0.5,0.0
EGS23259,F150W,1.533,9.34,0.593,14.5,6.3,124.4,1.5,0.025,0.981,0.034,5.781,0.153,4.708,0.712,1.0,0.0,0.0
EGS23259,F150W,1.533,9.34,0.593,34.4,-58.8,111.8,0.5,0.2,1.677,0.037,5.058,0.104,12.889,0.932,2.43,-0.1,0.02
EGS23259,F150W,1.533,9.34,0.593,31.5,-43.2,176.3,2.0,0.113,1.786,0.055,12.802,0.0,2.2,0.04,1.62,0.16,0.04
EGS23259,F200W,1.533,9.34,0.786,11.6,43.3,174.7,0.9,0.044,1.193,0.026,5.143,0.067,10.449,1.483,1.0,0.0,0.0
EGS23259,F200W,1.533,9.34,0.786,30.2,-45.8,129.9,0.5,0.214,2.371,0.024,5.632,0.161,3.265,0.043,4.73,-0.27,0.01
EGS23259,F200W,1.533,9.34,0.786,25.7,-45.7,216.6,1.0,0.13,2.321,0.042,8.881,0.286,1.334,0.024,4.54,0.5,0.0
EGS22339,F115W,1.543,9.37,0.454,20.8,-15.5,167.7,1.0,0.126,2.436,0.026,14.828,0.236,47.933,0.0,5.4,0.0,0.0
EGS22339,F115W,1.543,9.37,0.454,7.3,-21.6,359.2,3.4,0.151,3.183,0.039,10.163,0.12,16.825,1.774,1.75,0.0,0.0
EGS22339,F150W,1.543,9.37,0.59,21.7,-2.0,157.1,0.8,0.125,2.665,0.023,15.491,0.223,41.394,0.0,4.37,0.0,0.0
EGS22339,F150W,1.543,9.37,0.59,6.5,-15.6,375.5,2.7,0.18,4.113,0.0,9.749,0.105,23.411,2.81,1.1,0.0,0.0
EGS22339,F200W,1.543,9.37,0.782,21.5,-6.2,153.6,0.7,0.106,2.79,0.023,14.873,0.206,38.323,0.0,4.79,0.0,0.0
EGS22339,F200W,1.543,9.37,0.782,3.0,8.1,322.5,0.7,0.132,3.827,0.0,9.931,0.087,38.323,0.0,1.14,0.0,0.0
EGS22339,F277W,1.543,9.37,1.096,19.1,5.5,146.0,0.2,0.083,3.115,0.027,14.435,0.215,37.25,0.0,1.48,0.0,0.0
EGS22339,F277W,1.543,9.37,1.096,4.8,12.9,320.3,1.8,0.088,3.712,0.0,10.243,0.131,37.25,0.0,0.82,0.0,0.0
EGS22339,F356W,1.543,9.37,1.401,17.7,-4.1,143.5,0.2,0.078,2.668,0.025,12.641,0.265,35.965,0.0,3.46,0.0,0.0
EGS22339,F356W,1.543,9.37,1.401,4.2,9.2,324.7,0.7,0.086,3.587,0.0,10.174,0.119,35.965,0.0,0.98,0.0,0.0
EGS22339,F410M,1.543,9.37,1.609,17.0,8.8,144.7,0.2,0.077,2.979,0.026,13.276,0.241,35.223,0.0,2.85,0.0,0.0
EGS22339,F410M,1.543,9.37,1.609,4.0,12.4,321.0,1.2,0.084,3.514,0.0,10.331,0.107,35.223,0.0,0.98,0.0,0.0
EGS22339,F444W,1.543,9.37,1.738,18.8,15.9,144.3,0.3,0.077,2.856,0.032,14.079,0.292,35.846,0.0,2.93,0.0,0.0
EGS22339,F444W,1.543,9.37,1.738,4.4,11.8,324.8,1.4,0.083,3.574,0.0,10.276,0.131,35.846,0.0,0.83,0.0,0.0
EGS26831,F200W,1.543,9.37,0.782,20.1,-50.3,112.8,1.1,0.068,1.461,0.039,5.382,0.172,2.655,0.205,1.01,0.5,0.0
EGS26831,F200W,1.543,9.37,0.782,33.6,-79.2,111.5,0.9,0.111,4.552,0.0,6.037,0.0,4.424,0.148,0.44,-0.15,0.02
EGS26831,F277W,1.543,9.37,1.096,18.7,-39.8,211.2,8.6,0.057,0.88,0.031,7.087,0.116,14.0,4.283,20.09,-0.5,0.0
EGS26831,F277W,1.543,9.37,1.096,24.8,0.6,123.7,1.0,0.121,3.759,0.085,6.106,0.0,3.64,0.109,2.19,0.46,0.04
EGS26831,F356W,1.543,9.37,1.401,18.6,-32.3,187.6,3.3,0.05,0.789,0.019,7.525,0.143,7.106,1.677,20.09,-0.5,0.0
EGS26831,F356W,1.543,9.37,1.401,29.7,-46.4,120.4,0.9,0.119,3.481,0.075,6.084,0.0,3.546,0.078,1.95,0.46,0.05
EGS26831,F410M,1.543,9.37,1.609,19.5,-27.0,205.5,3.9,0.054,0.809,0.024,8.096,0.21,4.502,0.725,20.09,-0.5,0.0
EGS26831,F410M,1.543,9.37,1.609,30.7,-55.3,123.3,0.9,0.13,3.441,0.032,6.093,0.0,2.99,0.066,2.2,0.5,0.0
EGS26831,F444W,1.543,9.37,1.738,18.9,-26.8,196.4,3.8,0.052,0.733,0.024,8.125,0.171,10.447,3.87,20.09,-0.5,0.0
EGS26831,F444W,1.543,9.37,1.738,22.8,22.4,125.6,0.4,0.129,3.709,0.061,6.116,0.0,2.599,0.055,2.7,0.46,0.03
EGS31281,F115W,1.554,9.39,0.452,11.7,-56.9,108.9,1.3,0.057,1.853,0.039,7.413,0.095,2.783,0.077,1.0,0.0,0.0
EGS31281,F115W,1.554,9.39,0.452,36.9,0.0,139.0,2.2,0.056,1.712,0.041,9.093,0.117,37.75,0.0,1.0,0.0,0.0
EGS31281,F115W,1.554,9.39,0.452,14.6,-27.8,177.2,1.8,0.149,1.373,0.02,7.541,0.0,4.905,0.159,1.0,0.0,0.0
EGS31281,F115W,1.554,9.39,0.452,14.8,-8.3,243.0,4.4,0.169,2.117,0.05,9.282,0.77,3.403,0.314,0.37,0.5,0.0
EGS31281,F150W,1.554,9.39,0.588,9.3,-52.6,121.6,2.1,0.032,1.647,0.043,7.298,0.111,1.949,0.061,1.0,0.0,0.0
EGS31281,F150W,1.554,9.39,0.588,36.5,0.0,183.5,0.8,0.051,1.912,0.049,8.398,0.106,27.099,8.326,1.0,0.0,0.0
EGS31281,F150W,1.554,9.39,0.588,15.0,-38.8,187.4,1.7,0.116,1.396,0.034,7.583,0.0,2.557,0.076,1.0,0.0,0.0
EGS31281,F150W,1.554,9.39,0.588,14.5,36.9,266.7,3.1,0.123,1.664,0.067,13.157,0.0,2.764,0.241,0.37,0.47,0.08
EGS31281,F200W,1.554,9.39,0.779,14.7,-55.1,118.0,1.3,0.029,1.763,0.04,7.598,0.051,2.327,0.078,1.0,0.0,0.0
EGS31281,F200W,1.554,9.39,0.779,36.0,-0.0,189.1,0.6,0.058,2.239,0.042,8.857,0.087,20.621,3.757,1.0,0.0,0.0
