Galaxy,Subsample,Filter,z,t_L (Gyr),λ_rf (μm),M_rf (AB),M_F814W (AB),N arms,R_25 (kpc),Disc h (kpc)
JADES168076,JADES,F356W,1.1,8.09,1.697,-23.21,-22.31,3,22.306,2.075
JADES168076,JADES,F410M,1.1,8.09,1.949,-23.17,-22.31,3,22.242,2.095
JADES168076,JADES,F444W,1.1,8.09,2.105,-23.11,-22.31,3,22.138,2.066
JADES169951,JADES,F090W,1.09,8.06,0.431,-20.8,-21.4,2,11.04,2.186
JADES169951,JADES,F115W,1.09,8.06,0.552,-21.11,-21.4,2,12.439,2.278
JADES169951,JADES,F150W,1.09,8.06,0.718,-21.34,-21.4,2,12.545,2.188
JADES169951,JADES,F200W,1.09,8.06,0.952,-21.46,-21.4,2,13.446,2.145
JADES169951,JADES,F277W,1.09,8.06,1.333,-21.59,-21.4,2,13.509,2.27
JADES169951,JADES,F356W,1.09,8.06,1.705,-21.67,-21.4,2,14.103,2.006
JADES169951,JADES,F410M,1.09,8.06,1.958,-21.58,-21.4,2,13.141,1.918
JADES169951,JADES,F444W,1.09,8.06,2.115,-21.48,-21.4,2,13.13,1.972
JADES188157,JADES,F090W,1.1,8.09,0.429,-22.12,-23.35,2,14.622,3.059
JADES188157,JADES,F115W,1.1,8.09,0.55,-22.75,-23.35,2,16.529,2.884
JADES188157,JADES,F150W,1.1,8.09,0.715,-23.19,-23.35,2,17.315,2.638
JADES188157,JADES,F182M,1.1,8.09,0.879,-23.46,-23.35,2,18.3,2.482
JADES188157,JADES,F200W,1.1,8.09,0.948,-23.58,-23.35,2,19.224,2.562
JADES188157,JADES,F210M,1.1,8.09,0.997,-23.69,-23.35,2,20.989,2.278
JADES188157,JADES,F277W,1.1,8.09,1.327,-24.0,-23.35,2,21.852,2.269
JADES188157,JADES,F356W,1.1,8.09,1.697,-24.15,-23.35,2,23.065,2.414
JADES188157,JADES,F410M,1.1,8.09,1.949,-24.12,-23.35,2,22.271,2.317
JADES188157,JADES,F444W,1.1,8.09,2.105,-24.06,-23.35,2,24.199,2.23
JADES188429,JADES,F200W,1.69,9.69,0.74,-22.62,-22.65,2,15.308,2.858
JADES188429,JADES,F210M,1.69,9.69,0.778,-22.62,-22.65,2,,2.465
JADES188429,JADES,F277W,1.69,9.69,1.036,-23.19,-22.65,2,16.155,2.106
JADES188429,JADES,F335M,1.69,9.69,1.251,-23.42,-22.65,2,17.263,1.99
JADES188429,JADES,F356W,1.69,9.69,1.324,-23.53,-22.65,2,17.809,1.998
JADES188429,JADES,F410M,1.69,9.69,1.521,-23.69,-22.65,2,19.293,1.984
JADES188429,JADES,F444W,1.69,9.69,1.644,-23.82,-22.65,2,21.137,1.982
