Galaxy,Subsample,Filter,z,t_L (Gyr),λ_rf (μm),M_rf (AB),M_F814W (AB),N arms,R_25 (kpc),Disc h (kpc)
g103,COSMOS,F814W,0.266,3.1,0.637,-22.24,-22.69,3,20.669,3.784
g104,COSMOS,F814W,0.23,2.74,0.655,-21.27,-21.41,3,11.348,2.461
g107,COSMOS,F814W,0.227,2.71,0.657,-20.68,-21.08,4,8.284,1.393
g108,COSMOS,F814W,0.317,3.57,0.612,-21.62,-22.36,2,18.811,5.015
g111,COSMOS,F814W,0.762,6.63,0.457,-22.28,-22.86,2,17.766,3.301
g112,COSMOS,F814W,0.431,4.53,0.563,-21.82,-22.31,3,21.121,4.598
g113,COSMOS,F814W,0.407,4.34,0.573,-21.19,-21.48,1,18.562,3.41
g114,COSMOS,F814W,0.381,4.13,0.584,-21.24,-21.69,2,15.164,2.382
g116,COSMOS,F814W,0.335,3.73,0.604,-21.78,-22.69,2,14.303,3.557
g118,COSMOS,F814W,0.23,2.74,0.655,-21.66,-22.1,4,12.729,2.354
g119,COSMOS,F814W,0.494,5.0,0.54,-21.99,-22.47,2,17.696,3.925
g120,COSMOS,F814W,0.917,7.37,0.42,-21.65,-22.27,3,14.785,3.328
g121,COSMOS,F814W,0.53,5.25,0.527,-21.58,-22.09,4,17.838,3.534
g123,COSMOS,F814W,0.103,1.34,0.731,-21.94,-22.1,2,12.65,2.254
g124,COSMOS,F814W,0.313,3.54,0.614,-21.32,-21.81,2,12.352,2.167
g125,COSMOS,F814W,0.114,1.47,0.724,-19.64,-19.79,4,6.311,1.204
g128,COSMOS,F814W,0.839,7.02,0.438,-22.85,-23.76,2,24.314,5.279
g130,COSMOS,F814W,0.316,3.56,0.612,-20.95,-21.49,2,10.822,2.428
g131,COSMOS,F814W,0.342,3.79,0.601,-19.89,-20.23,2,9.487,2.012
g132,COSMOS,F814W,0.11,1.42,0.726,-19.92,-20.21,2,8.086,1.715
g134,COSMOS,F814W,0.408,4.35,0.572,-21.18,-21.6,3,16.636,3.549
g135,COSMOS,F814W,0.666,6.11,0.484,-21.42,-21.84,2,18.322,4.345
g136,COSMOS,F814W,0.571,5.52,0.513,-21.46,-22.04,2,12.234,1.962
g137,COSMOS,F814W,0.53,5.25,0.527,-22.88,-23.69,3,29.124,5.943
g138,COSMOS,F814W,0.466,4.79,0.55,-22.02,-22.75,2,20.211,5.972
g139,COSMOS,F814W,0.356,3.92,0.594,-21.58,-22.12,3,14.314,2.902
g141,COSMOS,F814W,0.734,6.49,0.465,-21.14,-21.74,2,13.528,2.622
g143,COSMOS,F814W,0.371,4.04,0.588,-22.13,-22.91,2,16.919,4.21
g144,COSMOS,F814W,0.708,6.35,0.472,-22.22,-22.97,2,17.835,3.144
g145,COSMOS,F814W,0.383,4.14,0.583,-22.02,-22.62,3,18.257,3.048
g146,COSMOS,F814W,1.008,7.75,0.401,-21.49,-21.96,2,17.893,2.996
g147,COSMOS,F814W,0.118,1.52,0.721,-21.63,-21.81,2,13.159,3.093
g148,COSMOS,F814W,0.69,6.25,0.477,-22.42,-23.26,2,20.024,3.741
g152,COSMOS,F814W,0.369,4.03,0.589,-22.17,-22.98,2,18.37,4.735
g153,COSMOS,F814W,0.267,3.11,0.636,-21.71,-22.29,2,20.166,7.124
g154,COSMOS,F814W,0.599,5.7,0.504,-21.58,-22.37,2,15.298,2.672
g156,COSMOS,F814W,0.186,2.28,0.68,-21.9,-22.42,2,19.354,5.15
g157,COSMOS,F814W,0.373,4.06,0.587,-21.27,-22.15,2,14.488,2.805
g160,COSMOS,F814W,0.276,3.19,0.632,-21.4,-21.76,2,18.558,4.551
g161,COSMOS,F814W,0.363,3.98,0.591,-21.52,-22.01,2,13.308,2.436
g163,COSMOS,F814W,0.478,4.88,0.545,-22.7,-23.51,2,22.844,4.999
g164,COSMOS,F814W,0.313,3.54,0.614,-21.71,-22.3,4,16.955,3.688
g166,COSMOS,F814W,0.271,3.15,0.634,-20.81,-21.08,4,16.013,4.271
g167,COSMOS,F814W,0.48,4.9,0.545,-21.62,-22.26,3,18.07,3.644
g168,COSMOS,F814W,0.703,6.32,0.473,-22.19,-23.08,2,19.955,4.485
g170,COSMOS,F814W,0.705,6.33,0.473,-22.77,-23.38,4,24.259,5.215
g171,COSMOS,F814W,0.708,6.35,0.472,-22.6,-23.33,4,23.91,3.816
g172,COSMOS,F814W,0.102,1.33,0.731,-20.04,-20.2,3,8.664,1.762
g173,COSMOS,F814W,0.516,5.15,0.532,-21.99,-22.64,2,12.118,2.014
g174,COSMOS,F814W,0.774,6.7,0.454,-21.81,-22.36,2,17.611,2.714
g175,COSMOS,F814W,0.694,6.27,0.476,-22.03,-22.79,3,20.47,4.477
g177,COSMOS,F814W,0.357,3.92,0.594,-22.29,-22.93,4,20.367,3.24
g178,COSMOS,F814W,0.446,4.64,0.557,-21.0,-21.3,2,16.048,3.916
g179,COSMOS,F814W,0.341,3.79,0.601,-22.62,-23.41,2,24.765,5.598
g180,COSMOS,F814W,0.38,4.12,0.584,-21.93,-22.66,2,16.801,4.245
g181,COSMOS,F814W,0.54,5.32,0.523,-21.95,-22.43,3,17.492,3.144
g182,COSMOS,F814W,0.842,7.03,0.438,-22.06,-23.1,2,21.799,3.733
EGS10221,CEERS,F115W,1.228,8.52,0.518,-19.75,-20.14,2,,2.088
EGS10221,CEERS,F150W,1.228,8.52,0.674,-20.02,-20.14,2,9.557,2.207
EGS10221,CEERS,F200W,1.228,8.52,0.893,-20.16,-20.14,2,10.156,3.033
EGS13670,CEERS,F115W,1.416,9.06,0.478,-22.5,-22.98,3,14.651,2.365
EGS13670,CEERS,F150W,1.416,9.06,0.621,-22.82,-22.98,3,14.232,2.164
EGS13670,CEERS,F200W,1.416,9.06,0.824,-22.99,-22.98,3,15.589,1.799
EGS13670,CEERS,F277W,1.416,9.06,1.153,-23.29,-22.98,3,,1.504
EGS13670,CEERS,F356W,1.416,9.06,1.475,-23.37,-22.98,3,17.228,1.558
EGS13670,CEERS,F410M,1.416,9.06,1.694,-23.49,-22.98,3,15.35,1.512
EGS13670,CEERS,F444W,1.416,9.06,1.83,-23.53,-22.98,3,18.382,1.549
EGS14565,CEERS,F115W,1.661,9.63,0.434,-21.7,-22.45,3,16.663,5.609
EGS14565,CEERS,F150W,1.661,9.63,0.564,-22.1,-22.45,3,,3.37
EGS14565,CEERS,F200W,1.661,9.63,0.748,-22.4,-22.45,3,17.49,2.913
EGS14565,CEERS,F277W,1.661,9.63,1.047,-22.62,-22.45,3,22.841,2.945
EGS14565,CEERS,F410M,1.661,9.63,1.538,-22.87,-22.45,3,26.084,2.582
EGS14565,CEERS,F444W,1.661,9.63,1.661,-22.94,-22.45,3,28.484,2.673
EGS21378,CEERS,F150W,3.301,11.57,0.349,-20.68,,1,,2.496
EGS21378,CEERS,F200W,3.301,11.57,0.463,-22.51,,1,,3.192
EGS21378,CEERS,F277W,3.301,11.57,0.648,-23.28,,1,,2.5
EGS21891,CEERS,F115W,1.126,8.18,0.543,-21.63,-21.79,5,15.744,2.984
EGS21891,CEERS,F150W,1.126,8.18,0.706,-21.77,-21.79,5,15.926,2.741
EGS21891,CEERS,F200W,1.126,8.18,0.936,-21.8,-21.79,5,16.162,2.738
EGS21891,CEERS,F277W,1.126,8.18,1.31,-21.92,-21.79,5,17.282,2.758
EGS21891,CEERS,F356W,1.126,8.18,1.676,-21.9,-21.79,5,16.591,2.819
EGS21891,CEERS,F410M,1.126,8.18,1.925,-21.87,-21.79,5,16.394,2.413
EGS21891,CEERS,F444W,1.126,8.18,2.08,-21.82,-21.79,5,16.84,2.591
EGS22339,CEERS,F115W,1.543,9.37,0.454,-22.66,-23.33,2,20.54,5.11
EGS22339,CEERS,F150W,1.543,9.37,0.59,-22.99,-23.33,2,19.583,3.734
EGS22339,CEERS,F200W,1.543,9.37,0.782,-23.3,-23.33,2,20.879,3.44
EGS22339,CEERS,F277W,1.543,9.37,1.096,-23.65,-23.33,2,23.049,3.871
EGS22339,CEERS,F356W,1.543,9.37,1.401,-23.81,-23.33,2,22.73,3.558
EGS22339,CEERS,F410M,1.543,9.37,1.609,-23.92,-23.33,2,21.599,3.441
EGS22339,CEERS,F444W,1.543,9.37,1.738,-23.92,-23.33,2,24.077,3.489
EGS22922,CEERS,F115W,1.905,10.08,0.397,-22.46,-23.24,2,21.381,4.491
EGS22922,CEERS,F150W,1.905,10.08,0.517,-22.83,-23.24,2,32.84,5.202
EGS22922,CEERS,F200W,1.905,10.08,0.685,-23.13,-23.24,2,26.431,4.231
EGS22922,CEERS,F277W,1.905,10.08,0.959,-23.32,-23.24,2,26.706,4.381
EGS22922,CEERS,F356W,1.905,10.08,1.226,-23.45,-23.24,2,28.321,4.413
EGS22922,CEERS,F410M,1.905,10.08,1.409,-23.5,-23.24,2,28.621,4.472
EGS22922,CEERS,F444W,1.905,10.08,1.522,-23.58,-23.24,2,26.645,3.49
EGS23205,CEERS,F200W,2.136,10.44,0.635,-23.45,-23.75,2,24.042,3.651
EGS23205,CEERS,F277W,2.136,10.44,0.888,-23.9,-23.75,2,21.455,3.217
EGS23205,CEERS,F356W,2.136,10.44,1.136,-24.32,-23.75,2,26.737,2.783
EGS23205,CEERS,F410M,2.136,10.44,1.305,-24.52,-23.75,2,24.287,2.721
EGS23205,CEERS,F444W,2.136,10.44,1.41,-24.57,-23.75,2,29.381,2.701
EGS23259,CEERS,F115W,1.533,9.34,0.456,-21.51,,3,16.484,4.422
EGS23259,CEERS,F150W,1.533,9.34,0.593,-21.98,,3,18.159,4.171
EGS23259,CEERS,F200W,1.533,9.34,0.786,-22.32,,3,17.741,3.295
EGS24154,CEERS,F115W,1.174,8.34,0.531,-22.78,-23.46,4,21.552,4.383
EGS24154,CEERS,F150W,1.174,8.34,0.69,-23.24,-23.46,4,22.44,3.732
EGS24154,CEERS,F200W,1.174,8.34,0.915,-23.62,-23.46,4,24.602,3.885
EGS24154,CEERS,F277W,1.174,8.34,1.282,-23.98,-23.46,4,28.004,3.492
EGS24154,CEERS,F356W,1.174,8.34,1.639,-24.07,-23.46,4,28.27,3.372
EGS24154,CEERS,F410M,1.174,8.34,1.882,-24.06,-23.46,4,28.864,3.404
EGS24154,CEERS,F444W,1.174,8.34,2.034,-24.01,-23.46,4,27.224,3.392
EGS24268,CEERS,F200W,2.305,10.67,0.602,-22.05,-22.24,2,23.498,2.305
EGS24268,CEERS,F277W,2.305,10.67,0.843,-22.29,-22.24,2,18.388,2.267
EGS24268,CEERS,F356W,2.305,10.67,1.078,-22.59,-22.24,2,17.735,1.869
EGS24268,CEERS,F410M,2.305,10.67,1.238,-22.74,-22.24,2,,1.504
EGS24268,CEERS,F444W,2.305,10.67,1.338,-22.81,-22.24,2,23.568,1.94
EGS25604,CEERS,F115W,1.664,9.63,0.433,-22.29,-23.49,1,17.096,3.668
EGS25604,CEERS,F150W,1.664,9.63,0.563,-22.9,-23.49,1,20.316,3.252
EGS25604,CEERS,F200W,1.664,9.63,0.747,-23.37,-23.49,1,22.373,3.165
EGS25604,CEERS,F277W,1.664,9.63,1.046,-23.88,-23.49,1,27.933,2.704
EGS25604,CEERS,F356W,1.664,9.63,1.338,-24.06,-23.49,1,26.212,2.602
EGS25604,CEERS,F410M,1.664,9.63,1.536,-24.2,-23.49,1,27.895,2.496
EGS25604,CEERS,F444W,1.664,9.63,1.66,-24.31,-23.49,1,28.721,2.484
EGS25879,CEERS,F115W,1.47,9.19,0.467,-23.33,-24.27,3,22.173,4.469
EGS25879,CEERS,F150W,1.47,9.19,0.608,-23.88,-24.27,3,26.851,4.157
EGS25879,CEERS,F200W,1.47,9.19,0.806,-24.27,-24.27,3,26.707,4.286
EGS25879,CEERS,F277W,1.47,9.19,1.128,-24.77,-24.27,3,27.893,4.256
EGS25879,CEERS,F356W,1.47,9.19,1.442,-25.03,-24.27,3,29.945,4.388
EGS25879,CEERS,F410M,1.47,9.19,1.657,-25.21,-24.27,3,29.913,4.171
EGS25879,CEERS,F444W,1.47,9.19,1.79,-25.22,-24.27,3,30.133,3.975
EGS26748,CEERS,F115W,1.204,8.44,0.524,-21.71,-22.12,2,14.733,2.598
EGS26748,CEERS,F150W,1.204,8.44,0.681,-22.01,-22.12,2,19.634,2.536
EGS26748,CEERS,F200W,1.204,8.44,0.903,-22.18,-22.12,2,17.225,2.621
EGS26748,CEERS,F277W,1.204,8.44,1.264,-22.43,-22.12,2,16.002,2.344
EGS26748,CEERS,F356W,1.204,8.44,1.617,-22.43,-22.12,2,15.823,2.076
EGS26748,CEERS,F410M,1.204,8.44,1.857,-22.46,-22.12,2,17.137,2.405
EGS26748,CEERS,F444W,1.204,8.44,2.006,-22.38,-22.12,2,15.249,2.051
EGS26831,CEERS,F200W,1.543,9.37,0.782,-22.43,-22.47,2,,4.944
EGS26831,CEERS,F277W,1.543,9.37,1.096,-22.76,-22.47,2,22.808,3.481
