Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),N_c,C/T,C/T_F814W,r_c/h,f_cs(0.2)
EGS27976,CEERS,F410M,1.05,7.91,1.996,-22.09,-21.84,3,16.268,11,0.027,0.044,3.1,0.45
EGS27976,CEERS,F444W,1.05,7.91,2.157,-21.98,-21.84,3,15.536,11,0.026,0.044,3.13,0.27
EGS30172,CEERS,F150W,3.29,11.56,0.35,-20.7,,2,,0,0.0,0.0,,
EGS30172,CEERS,F200W,3.29,11.56,0.464,-21.05,,2,,0,0.0,0.0,,
EGS30172,CEERS,F277W,3.29,11.56,0.649,-21.2,,2,,0,0.0,0.0,,
EGS30836,CEERS,F115W,1.116,8.15,0.545,-22.49,-23.06,3,15.294,27,0.075,0.061,1.84,0.59
EGS30836,CEERS,F150W,1.116,8.15,0.709,-22.92,-23.06,3,17.983,29,0.067,0.061,1.78,0.62
EGS30836,CEERS,F200W,1.116,8.15,0.94,-23.22,-23.06,3,19.299,31,0.054,0.061,1.78,0.65
EGS30836,CEERS,F277W,1.116,8.15,1.317,-23.62,-23.06,3,21.044,30,0.039,0.061,2.02,0.67
EGS30836,CEERS,F356W,1.116,8.15,1.684,-23.69,-23.06,3,21.347,25,0.037,0.061,2.12,0.52
EGS30836,CEERS,F410M,1.116,8.15,1.934,-23.66,-23.06,3,20.4,25,0.039,0.061,2.1,0.56
EGS30836,CEERS,F444W,1.116,8.15,2.089,-23.61,-23.06,3,20.486,24,0.038,0.061,2.17,0.67
EGS31125,CEERS,F200W,2.06,10.33,0.65,-22.92,-23.42,2,,5,0.043,0.029,1.47,0.8
EGS31125,CEERS,F277W,2.06,10.33,0.91,-23.69,-23.42,2,20.636,5,0.02,0.029,1.4,1.0
EGS31125,CEERS,F356W,2.06,10.33,1.164,-24.21,-23.42,2,21.591,5,0.022,0.029,1.31,1.0
EGS31125,CEERS,F410M,2.06,10.33,1.337,-24.47,-23.42,2,23.865,4,0.021,0.029,1.3,1.0
EGS31125,CEERS,F444W,2.06,10.33,1.445,-24.54,-23.42,2,23.441,5,0.02,0.029,1.11,1.0
EGS31281,CEERS,F115W,1.554,9.39,0.452,-21.6,-22.57,4,,7,0.03,0.018,1.36,0.57
EGS31281,CEERS,F150W,1.554,9.39,0.588,-22.1,-22.57,4,23.247,7,0.021,0.018,1.3,0.86
EGS31281,CEERS,F200W,1.554,9.39,0.779,-22.52,-22.57,4,19.357,7,0.019,0.018,1.54,0.71
EGS31281,CEERS,F277W,1.554,9.39,1.091,-23.06,-22.57,4,17.521,7,0.012,0.018,2.59,0.43
EGS31281,CEERS,F356W,1.554,9.39,1.395,-23.22,-22.57,4,19.83,6,0.011,0.018,2.28,0.33
EGS31281,CEERS,F410M,1.554,9.39,1.602,-23.35,-22.57,4,20.244,6,0.008,0.018,2.52,0.33
EGS31281,CEERS,F444W,1.554,9.39,1.731,-23.42,-22.57,4,18.021,6,0.007,0.018,2.79,0.33
EGS31720,CEERS,F115W,1.066,7.97,0.559,-20.94,-21.47,2,13.466,4,0.021,0.022,4.25,0.25
EGS31720,CEERS,F150W,1.066,7.97,0.726,-21.36,-21.47,2,15.505,4,0.022,0.022,3.58,0.25
EGS31720,CEERS,F200W,1.066,7.97,0.963,-21.61,-21.47,2,15.268,4,0.022,0.022,3.65,0.5
EGS31720,CEERS,F277W,1.066,7.97,1.348,-21.85,-21.47,2,15.12,4,0.014,0.022,3.95,0.5
EGS31720,CEERS,F356W,1.066,7.97,1.725,-21.97,-21.47,2,15.685,4,0.014,0.022,4.28,0.5
EGS31720,CEERS,F410M,1.066,7.97,1.981,-21.85,-21.47,2,14.557,4,0.015,0.022,5.2,0.25
EGS31720,CEERS,F444W,1.066,7.97,2.14,-21.79,-21.47,2,15.013,4,0.016,0.022,5.16,0.25
JADES131726,JADES,F182M,1.37,8.93,0.778,-22.87,-22.95,3,18.255,5,0.012,0.013,1.53,0.0
JADES131726,JADES,F210M,1.37,8.93,0.883,-23.13,-22.95,3,19.253,4,0.013,0.013,1.59,0.0
JADES131726,JADES,F444W,1.37,8.93,1.865,-23.68,-22.95,3,22.576,4,0.008,0.013,1.63,0.0
JADES156224,JADES,F182M,1.52,9.31,0.732,-22.64,-22.74,2,13.252,6,0.051,0.049,1.42,0.5
JADES156224,JADES,F210M,1.52,9.31,0.831,-22.77,-22.74,2,12.997,6,0.048,0.049,1.61,0.33
JADES156224,JADES,F444W,1.52,9.31,1.754,-23.58,-22.74,2,17.038,4,0.009,0.049,2.46,0.5
JADES158887,JADES,F090W,1.08,8.02,0.433,-20.87,-22.2,3,10.75,14,0.043,0.029,2.28,0.14
JADES158887,JADES,F115W,1.08,8.02,0.555,-21.52,-22.2,3,12.129,13,0.026,0.029,1.85,0.23
JADES158887,JADES,F150W,1.08,8.02,0.722,-22.02,-22.2,3,13.22,14,0.032,0.029,2.59,0.14
JADES158887,JADES,F200W,1.08,8.02,0.957,-22.45,-22.2,3,14.304,14,0.026,0.029,2.81,0.14
JADES158887,JADES,F277W,1.08,8.02,1.339,-22.85,-22.2,3,16.129,11,0.009,0.029,2.48,0.18
JADES158887,JADES,F335M,1.08,8.02,1.618,-23.05,-22.2,3,16.338,11,0.008,0.029,2.65,0.18
JADES158887,JADES,F356W,1.08,8.02,1.713,-23.06,-22.2,3,17.212,10,0.008,0.029,2.75,0.2
JADES158887,JADES,F410M,1.08,8.02,1.967,-23.0,-22.2,3,16.913,10,0.007,0.029,3.07,0.2
JADES158887,JADES,F444W,1.08,8.02,2.126,-22.94,-22.2,3,16.699,10,0.007,0.029,3.1,0.2
JADES158906,JADES,F090W,1.92,10.11,0.309,-20.92,-21.78,2,9.736,4,0.041,0.017,1.76,0.5
JADES158906,JADES,F115W,1.92,10.11,0.395,-21.47,-21.78,2,10.185,4,0.026,0.017,1.82,0.75
JADES158906,JADES,F150W,1.92,10.11,0.514,-21.67,-21.78,2,13.053,4,0.021,0.017,1.57,0.75
JADES158906,JADES,F200W,1.92,10.11,0.682,-21.76,-21.78,2,11.524,4,0.019,0.017,1.63,0.75
JADES158906,JADES,F277W,1.92,10.11,0.954,-21.79,-21.78,2,11.903,4,0.015,0.017,1.77,0.5
JADES158906,JADES,F356W,1.92,10.11,1.22,-21.84,-21.78,2,11.897,4,0.01,0.017,1.76,0.75
JADES158906,JADES,F410M,1.92,10.11,1.401,-21.85,-21.78,2,12.264,4,0.013,0.017,1.66,0.5
JADES158906,JADES,F444W,1.92,10.11,1.514,-21.88,-21.78,2,12.992,4,0.011,0.017,1.67,0.75
JADES159476,JADES,F115W,1.08,8.02,0.555,-21.56,-22.2,4,15.003,21,0.06,0.044,2.23,0.38
JADES159476,JADES,F150W,1.08,8.02,0.722,-22.04,-22.2,4,16.025,22,0.048,0.044,2.41,0.36
JADES159476,JADES,F200W,1.08,8.02,0.957,-22.42,-22.2,4,16.119,23,0.037,0.044,2.72,0.3
JADES159476,JADES,F277W,1.08,8.02,1.339,-22.82,-22.2,4,21.413,20,0.02,0.044,2.79,0.25
JADES159476,JADES,F356W,1.08,8.02,1.713,-23.03,-22.2,4,22.16,20,0.015,0.044,3.34,0.3
JADES159476,JADES,F410M,1.08,8.02,1.967,-22.98,-22.2,4,23.444,20,0.016,0.044,3.11,0.25
JADES159476,JADES,F444W,1.08,8.02,2.126,-22.91,-22.2,4,22.187,19,0.016,0.044,3.15,0.21
JADES160443,JADES,F150W,1.97,10.19,0.505,-22.48,-23.65,2,,12,0.054,0.028,1.75,0.58
JADES160443,JADES,F200W,1.97,10.19,0.67,-23.24,-23.65,2,20.045,12,0.034,0.028,2.03,0.42
JADES160443,JADES,F277W,1.97,10.19,0.938,-23.93,-23.65,2,24.31,12,0.023,0.028,2.48,0.33
JADES160443,JADES,F356W,1.97,10.19,1.2,-24.33,-23.65,2,22.416,12,0.02,0.028,2.78,0.33
JADES160443,JADES,F410M,1.97,10.19,1.378,-24.45,-23.65,2,23.925,12,0.018,0.028,3.27,0.17
JADES160443,JADES,F444W,1.97,10.19,1.489,-24.56,-23.65,2,23.071,11,0.017,0.028,2.76,0.27
JADES164258,JADES,F150W,2.01,10.25,0.499,-22.45,-23.44,3,17.927,20,0.111,0.055,1.73,0.9
JADES164258,JADES,F200W,2.01,10.25,0.661,-23.15,-23.44,3,22.191,24,0.076,0.055,1.64,0.58
JADES164258,JADES,F277W,2.01,10.25,0.926,-23.62,-23.44,3,22.992,20,0.038,0.055,2.53,0.35
JADES164258,JADES,F335M,2.01,10.25,1.118,-24.0,-23.44,3,23.069,16,0.029,0.055,2.75,0.31
JADES164258,JADES,F356W,2.01,10.25,1.184,-24.1,-23.44,3,24.956,18,0.028,0.055,2.72,0.28
JADES168076,JADES,F090W,1.1,8.09,0.429,-20.8,-22.31,3,12.766,12,0.051,0.028,2.56,0.17
JADES168076,JADES,F115W,1.1,8.09,0.55,-21.56,-22.31,3,17.509,12,0.041,0.028,2.6,0.08
JADES168076,JADES,F150W,1.1,8.09,0.715,-22.11,-22.31,3,16.439,13,0.031,0.028,2.56,0.31
JADES168076,JADES,F200W,1.1,8.09,0.948,-22.56,-22.31,3,17.841,13,0.024,0.028,2.72,0.31
JADES168076,JADES,F277W,1.1,8.09,1.327,-23.0,-22.31,3,20.938,12,0.019,0.028,2.98,0.42
JADES168076,JADES,F356W,1.1,8.09,1.697,-23.21,-22.31,3,22.306,12,0.014,0.028,2.89,0.33
JADES168076,JADES,F410M,1.1,8.09,1.949,-23.17,-22.31,3,22.242,11,0.012,0.028,2.88,0.27
JADES168076,JADES,F444W,1.1,8.09,2.105,-23.11,-22.31,3,22.138,11,0.011,0.028,3.02,0.27
JADES169951,JADES,F090W,1.09,8.06,0.431,-20.8,-21.4,2,11.04,15,0.07,0.053,2.67,0.27
JADES169951,JADES,F115W,1.09,8.06,0.552,-21.11,-21.4,2,12.439,16,0.056,0.053,2.39,0.31
JADES169951,JADES,F150W,1.09,8.06,0.718,-21.34,-21.4,2,12.545,15,0.055,0.053,2.39,0.27
JADES169951,JADES,F200W,1.09,8.06,0.952,-21.46,-21.4,2,13.446,14,0.05,0.053,2.45,0.29
JADES169951,JADES,F277W,1.09,8.06,1.333,-21.59,-21.4,2,13.509,16,0.04,0.053,2.31,0.31
JADES169951,JADES,F356W,1.09,8.06,1.705,-21.67,-21.4,2,14.103,16,0.038,0.053,2.72,0.19
JADES169951,JADES,F410M,1.09,8.06,1.958,-21.58,-21.4,2,13.141,16,0.037,0.053,2.93,0.19
JADES169951,JADES,F444W,1.09,8.06,2.115,-21.48,-21.4,2,13.13,15,0.035,0.053,2.89,0.27
JADES188157,JADES,F090W,1.1,8.09,0.429,-22.12,-23.35,2,14.622,18,0.066,0.038,1.73,0.5
JADES188157,JADES,F115W,1.1,8.09,0.55,-22.75,-23.35,2,16.529,21,0.054,0.038,1.87,0.43
JADES188157,JADES,F150W,1.1,8.09,0.715,-23.19,-23.35,2,17.315,19,0.042,0.038,2.06,0.42
JADES188157,JADES,F182M,1.1,8.09,0.879,-23.46,-23.35,2,18.3,20,0.034,0.038,2.1,0.4
JADES188157,JADES,F200W,1.1,8.09,0.948,-23.58,-23.35,2,19.224,18,0.033,0.038,2.11,0.33
JADES188157,JADES,F210M,1.1,8.09,0.997,-23.69,-23.35,2,20.989,20,0.032,0.038,2.29,0.35
JADES188157,JADES,F277W,1.1,8.09,1.327,-24.0,-23.35,2,21.852,18,0.022,0.038,2.46,0.39
JADES188157,JADES,F356W,1.1,8.09,1.697,-24.15,-23.35,2,23.065,19,0.018,0.038,2.27,0.32
JADES188157,JADES,F410M,1.1,8.09,1.949,-24.12,-23.35,2,22.271,17,0.016,0.038,2.38,0.35
JADES188157,JADES,F444W,1.1,8.09,2.105,-24.06,-23.35,2,24.199,18,0.015,0.038,2.61,0.33
JADES188429,JADES,F200W,1.69,9.69,0.74,-22.62,-22.65,2,15.308,8,0.022,0.021,1.54,0.75
JADES188429,JADES,F210M,1.69,9.69,0.778,-22.62,-22.65,2,,8,0.022,0.021,1.89,0.38
JADES188429,JADES,F277W,1.69,9.69,1.036,-23.19,-22.65,2,16.155,8,0.012,0.021,2.17,0.38
JADES188429,JADES,F335M,1.69,9.69,1.251,-23.42,-22.65,2,17.263,8,0.008,0.021,2.11,0.62
JADES188429,JADES,F356W,1.69,9.69,1.324,-23.53,-22.65,2,17.809,7,0.008,0.021,2.02,0.71
JADES188429,JADES,F410M,1.69,9.69,1.521,-23.69,-22.65,2,19.293,7,0.008,0.021,2.0,0.57
JADES188429,JADES,F444W,1.69,9.69,1.644,-23.82,-22.65,2,21.137,6,0.007,0.021,2.45,0.67
