Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
g108,COSMOS,F814W,0.317,3.57,0.612,-21.62,-22.36,2,18.811,0.295,0.596,0.0,0.0,0.11,5.015,0.054,8.9,0.3,1.547,0.023,55.2,1.5,3.11,0.04,,,,,,,5.2,2.1,-34.6,12.3,389.9,133.6,3.028,0.549,11162.241,0.0,6.241,1.43,0.83,0.26,-0.38,0.07,0.474
g111,COSMOS,F814W,0.762,6.63,0.457,-22.28,-22.86,2,17.766,0.744,0.001,0.0,0.038,0.217,3.301,0.023,80.3,1.1,0.025,658.259,1691.6,63197943.7,0.43,18288.18,,,,,,,12.7,0.6,-8.3,17.1,297.8,26.9,1.889,0.185,13108.651,919.008,3.524,0.129,3.13,2.38,0.12,0.01,0.454
g112,COSMOS,F814W,0.431,4.53,0.563,-21.82,-22.31,3,21.121,0.732,0.048,0.0,0.0,0.22,4.598,0.021,32.0,0.4,1.269,0.037,22.6,0.9,1.0,0.0,,,,,,,25.7,10.9,-34.6,12.8,227.2,80.1,3.078,0.657,14625.6,0.0,18.895,15.482,1.0,0.0,0.0,0.0,0.497
g113,COSMOS,F814W,0.407,4.34,0.573,-21.19,-21.48,1,18.562,0.709,0.0,0.119,0.0,0.172,3.41,0.019,28.2,0.4,,,,,,,1.735,0.054,16.8,1.0,1.86,0.09,12.2,0.0,24.8,0.0,199.3,0.0,3.393,0.0,11747.787,190.945,2.529,0.0,2.47,0.0,0.5,0.0,1.0
g114,COSMOS,F814W,0.381,4.13,0.584,-21.24,-21.69,2,15.164,0.559,0.029,0.0,0.0,0.412,2.382,0.016,46.6,0.6,0.433,0.027,48.1,4.0,1.0,0.0,,,,,,,20.9,2.0,-28.2,13.3,233.5,3.9,2.499,0.011,15226.769,321.75,2.729,0.146,0.78,0.27,-0.41,0.09,0.153
g116,COSMOS,F814W,0.335,3.73,0.604,-21.78,-22.69,2,14.303,0.346,0.218,0.314,0.0,0.122,3.557,0.026,19.2,0.4,0.33,0.003,855.9,12.0,0.7,0.02,2.649,0.018,44.9,0.5,0.5,0.01,16.2,9.8,-31.4,14.7,190.9,34.1,2.093,0.081,9763.391,0.0,2.159,0.578,3.62,2.18,-0.22,0.24,0.495
g118,COSMOS,F814W,0.23,2.74,0.655,-21.66,-22.1,4,12.729,0.493,0.101,0.0,0.0,0.406,2.354,0.013,58.2,1.2,0.37,0.006,290.7,4.6,1.0,0.0,,,,,,,13.1,1.8,-7.8,36.5,422.6,117.5,1.666,0.265,9977.933,0.0,1.476,1.099,1.55,1.16,0.11,0.46,0.242
g119,COSMOS,F814W,0.494,5.0,0.54,-21.99,-22.47,2,17.696,0.243,0.117,0.0,0.23,0.41,3.925,0.083,16.4,1.1,1.498,0.025,67.1,1.7,0.39,0.02,,,,,,,15.9,0.5,-48.5,17.3,226.1,8.9,2.974,0.213,12941.332,247.439,3.405,0.204,3.48,1.32,-0.12,0.34,0.62
g120,COSMOS,F814W,0.917,7.37,0.42,-21.65,-22.27,3,14.785,0.377,0.204,0.0,0.0,0.419,3.328,0.103,23.4,1.6,1.021,0.021,97.6,3.3,0.41,0.04,,,,,,,18.8,4.0,-39.0,22.4,208.9,33.8,2.414,0.633,12418.115,0.0,4.789,3.125,7.54,7.91,-0.45,0.04,0.47
g121,COSMOS,F814W,0.53,5.25,0.527,-21.58,-22.09,4,17.838,0.651,0.102,0.0,0.0,0.247,3.534,0.058,30.3,3.2,1.933,0.934,6.0,3.6,2.07,0.56,,,,,,,25.6,5.7,-6.7,22.1,157.8,53.0,1.447,0.621,14515.567,568.409,12.71,2.488,8.28,6.94,0.21,0.33,0.593
g123,COSMOS,F814W,0.103,1.34,0.731,-21.94,-22.1,2,12.65,0.556,0.178,0.16,0.0,0.106,2.254,0.001,118.5,0.2,0.28,0.001,1001.9,4.4,1.35,0.01,1.195,0.002,148.0,0.7,0.48,0.0,16.4,6.6,-26.4,40.3,227.5,10.9,1.357,0.292,5278.11,0.0,6.267,4.108,2.23,0.33,0.37,0.12,0.317
g124,COSMOS,F814W,0.313,3.54,0.614,-21.32,-21.81,2,12.352,0.682,0.029,0.0,0.0,0.288,2.167,0.013,67.5,1.1,0.286,0.015,123.9,12.4,0.83,0.17,,,,,,,18.3,6.0,-32.8,18.5,227.6,31.4,1.995,0.248,8719.857,159.809,4.282,0.733,0.95,0.05,-0.06,0.38,0.45
g125,COSMOS,F814W,0.114,1.47,0.724,-19.64,-19.79,4,6.311,0.607,0.053,0.0,0.0,0.34,1.204,0.006,43.8,0.9,0.193,0.009,65.4,5.9,1.83,0.15,,,,,,,25.6,4.1,-28.1,14.4,170.3,53.3,0.913,0.165,5065.76,139.45,1.767,0.919,2.58,1.59,-0.13,0.29,0.339
g128,COSMOS,F814W,0.839,7.02,0.438,-22.85,-23.76,2,24.314,0.292,0.135,0.167,0.0,0.405,5.279,0.144,22.5,1.9,1.984,0.087,46.8,2.8,1.04,0.07,6.866,0.143,16.7,0.8,0.37,0.03,14.3,0.1,-36.7,12.1,225.6,11.5,2.383,0.895,14949.333,182.089,6.598,2.68,2.23,1.58,0.18,0.07,0.534
g130,COSMOS,F814W,0.316,3.56,0.612,-20.95,-21.49,2,10.822,0.309,0.061,0.367,0.0,0.263,2.428,0.0,20.2,0.4,0.185,0.011,266.1,31.4,1.4,0.27,2.437,0.034,23.0,0.5,0.91,0.03,12.0,1.4,-50.1,2.5,234.0,19.8,2.27,0.129,6399.56,0.0,1.977,0.459,1.0,0.0,0.0,0.0,0.247
g131,COSMOS,F814W,0.342,3.79,0.601,-19.89,-20.23,2,9.487,0.469,0.302,0.0,0.0,0.229,2.012,0.091,14.2,2.4,1.633,0.069,9.2,0.4,1.0,0.0,,,,,,,19.4,2.8,27.8,4.9,267.7,8.1,1.494,0.109,9256.973,0.0,3.309,0.425,2.98,0.81,0.18,0.17,0.358
g132,COSMOS,F814W,0.11,1.42,0.726,-19.92,-20.21,2,8.086,0.626,0.116,0.075,0.0,0.183,1.715,0.004,38.2,0.2,0.266,0.007,93.8,4.2,2.39,0.08,1.747,0.017,7.7,0.2,0.32,0.01,16.4,1.1,-64.4,1.8,114.4,7.2,1.616,0.0,3292.491,66.666,0.822,0.01,0.65,0.01,-0.22,0.11,0.109
g134,COSMOS,F814W,0.408,4.35,0.572,-21.18,-21.6,3,16.636,0.742,0.021,0.0,0.0,0.237,3.549,0.022,29.8,0.5,0.496,0.03,26.5,2.9,0.61,0.14,,,,,,,21.0,9.0,32.2,25.7,224.9,31.5,1.141,0.175,19766.11,0.0,16.433,6.741,4.88,2.63,0.07,0.31,0.502
g135,COSMOS,F814W,0.666,6.11,0.484,-21.42,-21.84,2,18.322,0.635,0.056,0.0,0.0,0.309,4.345,0.05,20.1,0.5,0.636,0.034,50.7,5.5,1.1,0.18,,,,,,,13.3,3.8,-14.2,23.3,274.9,44.6,1.921,0.349,13252.315,0.0,5.38,1.382,2.76,0.25,0.03,0.47,0.444
g136,COSMOS,F814W,0.571,5.52,0.513,-21.46,-22.04,2,12.234,0.63,0.205,0.0,0.0,0.165,1.962,0.023,97.0,3.8,0.706,0.031,133.3,10.2,1.25,0.11,,,,,,,21.5,2.9,-18.0,2.7,169.3,42.2,0.801,0.05,5775.503,582.84,11.928,8.65,4.46,1.0,-0.25,0.11,0.55
g137,COSMOS,F814W,0.53,5.25,0.527,-22.88,-23.69,3,29.124,0.373,0.436,0.0,0.0,0.191,5.943,0.087,26.8,1.0,2.71,0.1,35.4,2.2,3.15,0.08,,,,,,,6.6,6.5,-15.1,17.9,274.4,73.7,2.026,0.483,11585.424,320.898,9.093,8.656,0.9,0.96,0.07,0.29,0.638
g138,COSMOS,F814W,0.466,4.79,0.55,-22.02,-22.75,2,20.211,0.289,0.413,0.0,0.0,0.298,5.972,0.0,9.1,0.3,1.61,0.017,73.6,1.0,1.6,0.0,,,,,,,14.5,2.2,-44.1,16.6,297.4,25.7,5.161,0.046,17514.259,617.58,37.659,23.297,1.0,0.0,0.0,0.0,0.231
g139,COSMOS,F814W,0.356,3.92,0.594,-21.58,-22.12,3,14.314,0.443,0.134,0.0,0.0,0.424,2.902,0.035,32.4,1.4,0.789,0.034,60.9,4.1,1.43,0.08,,,,,,,15.7,4.0,6.3,31.7,329.8,62.3,1.634,0.245,9295.399,111.251,24.953,5.511,1.0,0.0,0.0,0.0,0.245
g141,COSMOS,F814W,0.734,6.49,0.465,-21.14,-21.74,2,13.528,0.716,0.043,0.0,0.0,0.241,2.622,0.035,49.1,1.6,0.357,0.04,68.8,17.1,0.99,0.45,,,,,,,10.7,1.1,-11.7,26.4,270.2,39.1,1.3,0.006,8573.648,227.28,6.238,4.7,11.06,9.69,-0.24,0.24,0.62
g143,COSMOS,F814W,0.371,4.04,0.588,-22.13,-22.91,2,16.919,0.27,0.0,0.507,0.0,0.223,4.21,0.067,16.4,0.9,,,,,,,2.659,0.018,62.3,0.6,0.92,0.01,18.4,5.4,-53.9,9.2,214.1,26.8,2.448,0.0,8102.74,0.0,2.786,0.611,1.52,0.66,-0.21,0.26,0.276
g144,COSMOS,F814W,0.708,6.35,0.472,-22.22,-22.97,2,17.835,0.805,0.029,0.0,0.0,0.166,3.144,0.015,85.6,0.9,0.563,0.036,81.2,10.1,0.77,0.18,,,,,,,18.2,2.5,36.8,5.9,192.2,12.3,1.65,0.035,15529.002,0.0,4.37,0.645,11.37,9.41,0.18,0.29,0.783
g145,COSMOS,F814W,0.383,4.14,0.583,-22.02,-22.62,3,18.257,0.642,0.039,0.0,0.0,0.319,3.048,0.021,76.4,0.7,0.463,0.015,93.6,5.3,0.95,0.09,,,,,,,10.8,7.3,28.6,13.1,277.6,62.5,2.311,0.806,17392.165,540.915,11.478,9.789,9.29,8.71,0.03,0.46,0.307
g146,COSMOS,F814W,1.008,7.75,0.401,-21.49,-21.96,2,17.893,0.408,0.316,0.0,0.0,0.276,2.996,0.132,28.0,4.6,1.014,0.171,76.3,22.7,2.7,0.46,,,,,,,21.4,0.3,-15.2,20.2,236.3,11.8,1.127,0.146,5395.192,0.0,4.518,0.423,1.5,0.02,0.44,0.07,0.335
g147,COSMOS,F814W,0.118,1.52,0.721,-21.63,-21.81,2,13.159,0.432,0.09,0.393,0.0,0.085,3.093,0.004,28.3,0.1,0.359,0.002,252.6,1.6,1.35,0.01,2.223,0.002,56.7,0.1,0.7,0.0,7.4,0.8,4.3,19.5,354.8,6.0,2.536,0.663,6540.721,24.676,7.904,2.2,1.03,0.35,0.25,0.37,0.252
g148,COSMOS,F814W,0.69,6.25,0.477,-22.42,-23.26,2,20.024,0.585,0.263,0.0,0.0,0.152,3.741,0.039,54.1,1.7,1.09,0.022,185.0,6.5,1.33,0.05,,,,,,,6.6,1.4,8.5,22.6,401.9,191.4,1.738,0.182,13524.028,323.397,17.922,16.102,1.51,0.14,0.09,0.47,0.503
g152,COSMOS,F814W,0.369,4.03,0.589,-22.17,-22.98,2,18.37,0.369,0.105,0.241,0.0,0.285,4.735,0.0,16.7,0.1,0.291,0.004,763.6,22.7,1.21,0.06,2.799,0.023,43.4,0.5,0.55,0.01,13.8,2.1,-43.0,12.7,307.0,24.9,4.129,0.514,12591.854,0.0,15.084,12.03,1.0,0.0,0.0,0.0,0.396
g153,COSMOS,F814W,0.267,3.11,0.636,-21.71,-22.29,2,20.166,0.214,0.265,0.172,0.0,0.35,7.124,0.151,2.9,0.2,1.431,0.027,48.6,1.5,1.86,0.04,4.832,0.023,7.4,0.1,0.25,0.0,17.2,0.8,-1.6,19.8,284.7,4.4,3.096,0.416,20762.944,176.956,6.621,0.793,0.79,0.15,-0.29,0.19,0.2
g154,COSMOS,F814W,0.599,5.7,0.504,-21.58,-22.37,2,15.298,0.625,0.119,0.0,0.0,0.255,2.672,0.046,68.8,3.6,0.723,0.073,60.1,9.9,1.5,0.23,,,,,,,19.9,4.0,-21.2,5.6,193.5,29.3,2.154,0.188,11395.137,222.033,6.666,4.08,1.65,1.21,-0.08,0.43,0.338
g156,COSMOS,F814W,0.186,2.28,0.68,-21.9,-22.42,2,19.354,0.27,0.229,0.285,0.0,0.216,5.15,0.034,10.1,0.1,0.375,0.001,655.3,2.8,1.3,0.01,3.317,0.006,32.0,0.1,0.51,0.0,13.1,1.0,-32.9,0.6,239.9,51.4,4.804,1.505,13871.474,86.43,38.596,29.497,1.26,0.4,-0.21,0.05,0.348
g157,COSMOS,F814W,0.373,4.06,0.587,-21.27,-22.15,2,14.488,0.499,0.162,0.0,0.0,0.338,2.805,0.033,37.0,1.2,1.195,0.038,49.5,1.8,0.37,0.04,,,,,,,9.0,5.7,14.9,31.4,291.3,28.8,1.605,0.236,6332.179,513.764,1.892,1.11,4.56,2.99,-0.18,0.16,0.426
g160,COSMOS,F814W,0.276,3.19,0.632,-21.4,-21.76,2,18.558,0.321,0.369,0.0,0.0,0.31,4.551,0.102,9.8,0.8,3.411,0.101,7.3,0.4,1.94,0.06,,,,,,,13.6,1.3,15.4,2.9,465.3,62.8,1.712,0.126,11875.324,240.193,6.552,0.946,5.73,0.99,0.05,0.17,0.181
g161,COSMOS,F814W,0.363,3.98,0.591,-21.52,-22.01,2,13.308,0.71,0.032,0.0,0.0,0.258,2.436,0.012,69.9,1.2,0.662,0.048,37.2,4.6,1.06,0.17,,,,,,,17.1,2.4,-37.0,22.4,261.7,44.9,2.106,0.159,7317.331,0.0,2.853,1.425,1.26,0.85,-0.49,0.01,0.324
g163,COSMOS,F814W,0.478,4.88,0.545,-22.7,-23.51,2,22.844,0.407,0.177,0.287,0.0,0.129,4.999,0.04,30.1,0.7,1.195,0.064,92.1,8.1,2.31,0.11,5.635,0.052,28.3,0.5,0.56,0.0,9.3,4.8,-19.7,0.7,186.9,0.4,4.729,0.8,18274.099,662.959,3.481,0.9,0.76,0.1,0.1,0.12,0.227
g164,COSMOS,F814W,0.313,3.54,0.614,-21.71,-22.3,4,16.955,0.387,0.272,0.0,0.0,0.341,3.688,0.037,20.5,0.7,1.943,0.119,15.1,1.5,3.7,0.13,,,,,,,14.4,2.4,-17.3,12.7,279.6,75.5,2.52,0.491,11985.432,495.55,3.609,4.058,2.38,0.82,-0.19,0.27,0.349
g166,COSMOS,F814W,0.271,3.15,0.634,-20.81,-21.08,4,16.013,0.459,0.095,0.0,0.0,0.445,4.271,0.069,8.1,0.4,1.325,0.025,18.0,0.6,0.56,0.03,,,,,,,13.8,2.7,-0.9,9.0,332.6,119.5,2.776,0.39,17984.195,728.269,3.659,0.825,2.78,2.3,-0.38,0.2,0.255
g167,COSMOS,F814W,0.48,4.9,0.545,-21.62,-22.26,3,18.07,0.485,0.115,0.0,0.0,0.401,3.644,0.056,28.9,1.1,2.518,0.279,5.6,1.1,3.31,0.29,,,,,,,14.1,1.0,-7.4,17.7,312.0,102.1,2.183,0.342,12997.2,0.0,10.375,9.507,1.97,0.93,0.17,0.14,0.362
g168,COSMOS,F814W,0.703,6.32,0.473,-22.19,-23.08,2,19.955,0.398,0.213,0.117,0.0,0.271,4.485,0.086,23.7,1.3,0.876,0.038,136.6,10.7,2.02,0.13,2.291,0.048,50.9,2.5,0.25,0.0,12.5,1.0,-20.8,23.9,255.7,37.7,2.03,0.115,10646.263,390.683,12.78,3.374,0.71,0.42,-0.05,0.37,0.421
g170,COSMOS,F814W,0.705,6.33,0.473,-22.77,-23.38,4,24.259,0.412,0.102,0.0,0.0,0.486,5.215,0.068,32.7,1.7,1.043,0.283,39.6,19.5,5.23,0.98,,,,,,,25.2,12.6,-42.1,25.4,223.6,55.8,3.45,1.024,19067.303,0.0,22.972,19.27,1.39,0.95,-0.04,0.28,0.428
g171,COSMOS,F814W,0.708,6.35,0.472,-22.6,-23.33,4,23.91,0.585,0.049,0.0,0.0,0.366,3.816,0.023,71.6,1.0,0.37,0.013,344.3,20.6,0.69,0.1,,,,,,,21.3,5.0,-20.5,18.4,193.4,52.2,2.179,0.917,15659.622,284.412,7.06,2.958,3.04,5.06,-0.12,0.2,0.407
g172,COSMOS,F814W,0.102,1.33,0.731,-20.04,-20.2,3,8.664,0.682,0.006,0.01,0.0,0.302,1.762,0.004,35.9,0.2,0.184,0.007,20.3,1.7,0.32,0.09,0.843,0.033,5.0,0.3,0.37,0.07,10.8,1.5,-8.4,10.5,281.7,83.7,1.129,0.337,7476.148,158.926,2.335,0.339,5.59,2.21,0.04,0.12,0.619
g173,COSMOS,F814W,0.516,5.15,0.532,-21.99,-22.64,2,12.118,0.647,0.064,0.157,0.0,0.132,2.014,0.019,153.8,5.6,0.506,0.035,151.8,21.2,1.22,0.21,1.825,0.128,40.3,5.5,1.17,0.14,8.7,12.8,-1.6,4.2,191.0,42.6,1.338,0.102,6705.124,0.0,1.988,0.09,3.77,4.6,-0.05,0.0,0.59
g174,COSMOS,F814W,0.774,6.7,0.454,-21.81,-22.36,2,17.611,0.346,0.342,0.0,0.0,0.312,2.714,0.109,40.6,4.7,1.92,0.139,31.4,3.9,2.6,0.19,,,,,,,16.3,3.7,7.9,1.5,325.5,8.4,2.449,0.112,15947.789,0.0,11.69,4.404,0.69,0.09,-0.08,0.48,0.415
g175,COSMOS,F814W,0.694,6.27,0.476,-22.03,-22.79,3,20.47,0.56,0.087,0.0,0.0,0.354,4.477,0.049,26.7,0.6,0.989,0.03,44.1,2.5,0.84,0.07,,,,,,,19.6,6.5,-19.1,29.6,165.3,32.8,2.635,1.087,16541.053,409.32,6.849,3.718,0.88,0.38,-0.21,0.24,0.611
g177,COSMOS,F814W,0.357,3.92,0.594,-22.29,-22.93,4,20.367,0.314,0.043,0.181,0.0,0.463,3.24,0.117,33.5,2.0,0.293,0.007,356.6,15.1,0.75,0.07,3.397,0.053,25.6,0.6,0.61,0.02,20.7,3.9,1.4,22.2,239.8,55.9,3.444,0.819,22483.761,286.928,5.913,2.08,1.96,1.43,-0.07,0.22,0.302
g178,COSMOS,F814W,0.446,4.64,0.557,-21.0,-21.3,2,16.048,0.572,0.09,0.0,0.0,0.338,3.916,0.077,14.7,0.8,1.713,0.116,10.7,1.2,1.07,0.13,,,,,,,19.0,1.7,-3.8,14.3,322.3,78.9,1.468,0.42,8053.75,289.913,4.567,1.132,5.83,1.84,0.27,0.06,0.408
g179,COSMOS,F814W,0.341,3.79,0.601,-22.62,-23.41,2,24.765,0.646,0.066,0.221,0.0,0.068,5.598,0.013,38.5,0.3,0.658,0.022,126.7,6.8,1.62,0.07,3.559,0.026,41.1,0.6,0.85,0.01,18.8,7.3,-19.3,32.7,174.3,14.6,2.031,0.347,14068.685,0.0,45.515,3.221,6.66,0.71,0.06,0.15,0.714
g180,COSMOS,F814W,0.38,4.12,0.584,-21.93,-22.66,2,16.801,0.289,0.098,0.406,0.0,0.208,4.245,0.055,12.8,0.5,0.712,0.035,101.0,4.5,0.96,0.06,3.498,0.054,23.5,0.9,0.86,0.03,15.4,1.8,-57.4,8.4,206.0,19.9,2.267,0.547,7693.145,118.486,2.79,0.673,0.48,0.12,-0.4,0.1,0.353
g181,COSMOS,F814W,0.54,5.32,0.523,-21.95,-22.43,3,17.492,0.374,0.065,0.0,0.0,0.56,3.144,0.081,31.0,2.6,0.316,0.017,389.6,30.4,1.0,0.0,,,,,,,19.9,3.6,-56.7,6.5,328.4,95.2,2.036,0.008,8281.643,378.143,4.123,3.201,0.43,0.06,-0.02,0.44,0.258
g182,COSMOS,F814W,0.842,7.03,0.438,-22.06,-23.1,2,21.799,0.4,0.177,0.0,0.0,0.424,3.733,0.118,26.2,2.4,2.027,0.054,34.9,1.4,0.56,0.04,,,,,,,16.7,4.2,3.5,5.2,195.9,11.9,2.94,0.07,10808.658,585.972,3.119,0.178,3.49,2.27,-0.43,0.06,0.351
EGS10221,CEERS,F115W,1.228,8.52,0.518,-19.75,-20.14,2,,0.385,0.022,0.198,0.0,0.395,2.088,0.069,13.0,0.7,0.423,0.082,6.4,2.0,1.18,0.38,3.315,0.041,9.1,0.2,0.25,0.0,11.3,4.8,-52.3,17.0,93.5,12.5,2.108,0.008,9178.094,517.012,2.029,0.084,0.59,0.3,0.27,0.14,0.541
EGS10221,CEERS,F150W,1.228,8.52,0.674,-20.02,-20.14,2,9.557,0.444,0.028,0.167,0.0,0.362,2.207,0.061,14.0,0.7,0.448,0.067,9.2,2.3,1.21,0.31,3.141,0.046,9.3,0.2,0.25,0.0,17.9,1.2,-32.9,19.3,117.2,13.3,1.855,0.036,8527.823,436.849,2.6,0.075,0.84,0.56,-0.02,0.41,0.535
EGS10221,CEERS,F200W,1.228,8.52,0.893,-20.16,-20.14,2,10.156,0.548,0.053,0.134,0.0,0.265,3.033,0.081,10.7,0.7,0.786,0.163,5.8,1.7,1.54,0.31,2.857,0.042,10.7,0.2,0.25,0.0,16.7,5.6,-6.2,31.1,125.7,11.8,1.617,0.118,10818.397,3136.018,2.235,0.413,0.46,0.08,0.3,0.03,0.469
EGS13670,CEERS,F115W,1.416,9.06,0.478,-22.5,-22.98,3,14.651,0.488,0.065,0.0,0.0,0.446,2.365,0.015,117.9,1.1,0.547,0.005,155.4,1.7,1.0,0.0,,,,,,,18.8,9.3,0.5,17.6,144.0,23.9,1.799,0.204,10997.286,426.183,6.764,1.607,0.65,0.19,-0.13,0.28,0.819
EGS13670,CEERS,F150W,1.416,9.06,0.621,-22.82,-22.98,3,14.232,0.519,0.083,0.0,0.0,0.398,2.164,0.01,201.9,1.5,0.537,0.004,276.6,2.4,1.0,0.0,,,,,,,20.3,8.6,-5.2,16.1,153.6,24.5,1.9,0.376,12508.526,556.748,5.946,1.184,0.57,0.38,-0.17,0.31,0.824
EGS13670,CEERS,F200W,1.416,9.06,0.824,-22.99,-22.98,3,15.589,0.519,0.092,0.0,0.0,0.389,1.799,0.006,341.2,2.1,0.471,0.003,465.8,3.8,1.0,0.0,,,,,,,20.9,8.0,1.0,12.0,207.8,45.5,2.022,0.185,14944.239,0.0,2.047,0.539,1.25,1.65,-0.31,0.13,0.762
EGS13670,CEERS,F277W,1.416,9.06,1.153,-23.29,-22.98,3,,0.418,0.139,0.0,0.0,0.443,1.504,0.032,521.1,23.8,0.671,0.017,457.1,8.5,1.0,0.0,,,,,,,17.5,1.5,6.6,36.0,203.2,22.1,2.179,0.247,14953.782,0.0,3.899,2.639,0.99,0.85,-0.08,0.05,0.623
EGS13670,CEERS,F356W,1.416,9.06,1.475,-23.37,-22.98,3,17.228,0.409,0.172,0.0,0.0,0.419,1.558,0.019,507.3,13.5,0.685,0.008,580.0,5.5,1.0,0.0,,,,,,,15.3,4.1,3.5,42.2,196.4,23.5,2.254,0.254,13520.786,628.646,3.462,1.9,1.32,1.0,0.05,0.17,0.639
EGS13670,CEERS,F410M,1.416,9.06,1.694,-23.49,-22.98,3,15.35,0.402,0.184,0.0,0.0,0.414,1.512,0.016,590.9,13.9,0.683,0.007,697.9,5.6,1.0,0.0,,,,,,,14.7,4.5,3.1,42.0,193.6,24.3,2.223,0.261,13052.943,571.188,3.7,2.451,1.63,1.49,0.06,0.22,0.665
EGS13670,CEERS,F444W,1.416,9.06,1.83,-23.53,-22.98,3,18.382,0.398,0.188,0.0,0.0,0.414,1.549,0.016,582.0,13.6,0.699,0.007,710.1,5.1,1.0,0.0,,,,,,,15.1,4.1,-3.2,39.2,188.3,26.7,2.381,0.32,12185.4,416.526,3.162,1.725,1.51,1.7,-0.02,0.16,0.677
EGS14565,CEERS,F115W,1.661,9.63,0.434,-21.7,-22.45,3,16.663,0.385,0.032,0.0,0.0,0.583,5.609,0.155,11.3,0.8,0.555,0.011,35.8,0.8,1.0,0.0,,,,,,,18.1,2.6,-20.2,21.9,299.5,86.5,2.517,0.323,14585.565,393.373,14.54,6.572,1.38,0.68,0.16,0.14,0.49
EGS14565,CEERS,F150W,1.661,9.63,0.564,-22.1,-22.45,3,,0.573,0.032,0.0,0.0,0.395,3.37,0.021,61.7,0.7,0.486,0.008,67.0,1.3,1.0,0.0,,,,,,,15.6,1.4,-12.5,15.2,283.9,84.0,2.016,0.464,9968.966,183.215,8.971,1.563,2.4,3.03,0.23,0.28,0.608
EGS14565,CEERS,F200W,1.661,9.63,0.748,-22.4,-22.45,3,17.49,0.619,0.042,0.0,0.0,0.339,2.913,0.011,121.0,0.8,0.489,0.006,113.3,1.6,1.0,0.0,,,,,,,19.0,2.7,-10.2,29.4,256.6,60.1,2.167,0.172,14791.179,0.0,13.092,9.628,1.42,1.0,0.09,0.28,0.709
EGS14565,CEERS,F277W,1.661,9.63,1.047,-22.62,-22.45,3,22.841,0.508,0.106,0.0,0.0,0.386,2.945,0.015,127.1,1.8,0.861,0.007,113.7,0.8,1.0,0.0,,,,,,,19.4,4.8,-5.9,31.1,291.4,81.7,2.709,0.319,13480.462,184.547,8.124,2.106,1.65,0.91,-0.02,0.11,0.565
EGS14565,CEERS,F410M,1.661,9.63,1.538,-22.87,-22.45,3,26.084,0.563,0.128,0.0,0.0,0.309,2.582,0.011,226.3,2.1,0.837,0.007,182.3,1.4,1.0,0.0,,,,,,,17.6,4.5,-9.7,13.3,254.3,68.4,2.089,0.428,13839.251,300.679,3.816,1.42,0.97,0.46,-0.01,0.17,0.675
EGS14565,CEERS,F444W,1.661,9.63,1.661,-22.94,-22.45,3,28.484,0.54,0.154,0.0,0.0,0.306,2.673,0.01,210.7,1.9,0.926,0.006,191.6,1.0,1.0,0.0,,,,,,,16.1,1.1,-3.6,23.9,254.1,70.5,2.189,0.472,14984.039,0.0,4.721,0.476,1.34,0.71,-0.15,0.2,0.657
EGS21378,CEERS,F150W,3.301,11.57,0.349,-20.68,,1,,0.478,0.205,0.0,0.0,0.317,2.496,0.117,32.4,2.7,0.372,0.009,280.3,11.3,0.73,0.05,,,,,,,6.8,0.0,1.5,0.0,263.5,0.0,1.773,0.0,5722.402,253.8,7.958,0.0,1.0,0.0,0.0,0.0,0.609
EGS21378,CEERS,F200W,3.301,11.57,0.463,-22.51,,1,,0.371,0.307,0.0,0.0,0.322,3.192,0.059,82.4,3.5,0.422,0.002,2090.4,14.3,0.69,0.01,,,,,,,8.1,0.0,-1.7,0.0,364.4,0.0,2.134,0.0,5817.214,100.226,25.974,0.0,1.0,0.0,0.0,0.0,0.356
EGS21378,CEERS,F277W,3.301,11.57,0.648,-23.28,,1,,0.331,0.397,0.0,0.0,0.272,2.5,0.0,245.1,2.4,0.538,0.001,3357.0,15.2,0.64,0.01,,,,,,,6.5,0.0,18.6,0.0,378.8,0.0,2.515,0.0,5955.578,0.0,24.998,0.0,1.0,0.0,0.0,0.0,0.317
EGS21891,CEERS,F115W,1.126,8.18,0.543,-21.63,-21.79,5,15.744,0.592,0.092,0.0,0.0,0.316,2.984,0.015,65.6,0.7,0.649,0.0,79.2,0.6,1.2,0.0,,,,,,,23.4,6.9,27.9,18.5,137.7,46.2,1.492,0.551,10042.409,148.505,9.899,5.055,6.15,3.71,-0.08,0.25,0.563
EGS21891,CEERS,F150W,1.126,8.18,0.706,-21.77,-21.79,5,15.926,0.567,0.101,0.0,0.0,0.332,2.741,0.019,83.0,1.4,0.649,0.011,90.9,2.5,1.2,0.03,,,,,,,23.1,5.0,23.2,23.9,143.0,48.1,1.541,0.548,10245.738,185.587,8.742,5.278,5.93,3.99,-0.25,0.22,0.528
