Galaxy,Filter,D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err
g53,F814W,0.303,0.141,0.106,0.0,0.451,5.938,0.046,6.4,0.1,1.137,0.032,50.6,3.5,1.36,0.03,2.101,0.079,17.0,1.7,1.14,0.07
g56,F814W,0.487,0.181,0.259,0.0,0.073,1.894,0.007,32.3,0.3,0.152,0.006,970.2,56.4,1.63,0.09,0.98,0.015,74.2,2.9,0.65,0.02
g57,F814W,0.607,0.031,0.0,0.0,0.361,3.353,0.022,50.1,0.5,0.409,0.015,83.4,5.9,1.33,0.13,,,,,,
g59,F814W,0.409,0.078,0.103,0.0,0.41,4.528,0.05,10.8,0.4,0.383,0.009,190.0,8.5,1.06,0.07,1.74,0.025,28.8,0.7,0.25,0.0
g60,F814W,0.51,0.26,0.0,0.0,0.231,2.95,0.013,29.4,0.5,3.488,0.0,3.7,0.1,3.35,0.07,,,,,,
g62,F814W,0.612,0.0,0.0,0.0,0.388,2.603,0.02,58.5,0.7,,,,,,,,,,,,
g63,F814W,0.284,0.208,0.0,0.225,0.283,4.557,0.099,31.6,2.1,0.846,0.019,294.5,11.9,1.37,0.06,,,,,,
g64,F814W,0.323,0.212,0.15,0.0,0.315,2.951,0.053,10.4,0.9,0.944,0.058,22.8,1.9,2.22,0.09,2.655,0.044,14.0,0.3,0.51,0.02
g65,F814W,0.439,0.331,0.0,0.0,0.23,5.32,0.205,20.8,4.5,2.87,0.469,23.4,4.6,1.91,0.18,,,,,,
g66,F814W,0.487,0.096,0.0,0.0,0.417,5.001,0.08,10.7,0.6,1.565,0.22,6.4,1.2,2.12,0.21,,,,,,
g68,F814W,0.459,0.351,0.0,0.0,0.19,3.395,0.067,10.3,0.6,0.915,0.034,42.3,2.7,2.06,0.09,,,,,,
g69,F814W,0.483,0.277,0.0,0.0,0.24,4.104,0.084,25.5,2.3,2.114,0.26,21.6,3.9,2.3,0.2,,,,,,
g71,F814W,0.312,0.381,0.0,0.0,0.308,3.513,0.0,33.0,1.6,1.315,0.063,101.0,8.7,2.71,0.13,,,,,,
g73,F814W,0.296,0.179,0.227,0.0,0.299,4.013,0.155,18.3,2.1,0.898,0.031,134.1,7.8,1.21,0.09,4.956,0.23,9.9,1.2,1.13,0.12
g74,F814W,0.463,0.26,0.0,0.0,0.277,5.345,0.156,29.8,2.3,1.846,0.055,69.0,2.6,0.92,0.05,,,,,,
g75,F814W,0.594,0.037,0.0,0.0,0.369,3.403,0.027,21.7,0.5,0.795,0.035,26.5,2.2,0.98,0.11,,,,,,
g76,F814W,0.302,0.007,0.151,0.0,0.541,3.314,0.112,8.6,0.7,0.356,0.027,12.9,1.9,0.29,0.15,2.78,0.125,3.8,0.3,1.59,0.09
g77,F814W,0.748,0.004,0.067,0.0,0.181,2.254,0.032,13.5,0.4,0.305,0.221,5.8,6.2,0.25,0.0,1.309,0.073,7.9,0.9,0.25,0.0
g79,F814W,0.49,0.177,0.124,0.0,0.209,4.331,0.028,21.0,0.4,0.868,0.035,71.3,4.8,2.49,0.1,3.383,0.04,15.8,0.5,0.33,0.01
g81,F814W,0.296,0.295,0.0,0.0,0.409,3.916,0.079,37.3,2.2,0.329,0.007,2610.9,93.0,1.0,0.0,,,,,,
g82,F814W,0.673,0.288,0.0,0.0,0.038,4.228,0.032,25.6,0.6,1.011,0.031,64.7,3.4,2.17,0.08,,,,,,
g84,F814W,0.529,0.144,0.0,0.0,0.328,2.005,0.056,37.6,3.9,1.01,0.186,19.9,6.1,2.97,0.52,,,,,,
g85,F814W,0.675,0.014,0.0,0.0,0.311,2.685,0.018,38.4,0.5,0.312,0.025,46.6,6.8,0.32,0.17,,,,,,
g87,F814W,0.473,0.215,0.0,0.068,0.244,3.703,0.049,41.4,2.3,1.294,0.054,78.1,5.0,1.77,0.07,,,,,,
g89,F814W,0.541,0.099,0.0,0.0,0.359,5.262,0.096,17.4,0.8,0.684,0.022,88.5,6.2,0.94,0.11,,,,,,
g93,F814W,0.612,0.147,0.0,0.0,0.241,2.65,0.038,51.3,2.4,1.563,0.337,10.3,3.2,2.53,0.36,,,,,,
g95,F814W,0.544,0.201,0.0,0.0,0.256,3.426,0.014,60.7,1.1,2.24,0.059,26.4,1.0,1.97,0.04,,,,,,
g96,F814W,0.211,0.214,0.285,0.0,0.29,3.806,0.04,8.9,0.2,0.301,0.001,801.9,6.7,1.11,0.02,2.836,0.008,29.2,0.1,0.48,0.0
g98,F814W,0.768,0.028,0.0,0.0,0.204,2.794,0.016,21.2,0.4,0.406,0.016,23.2,1.5,0.64,0.08,,,,,,
g99,F814W,0.658,0.073,0.0,0.0,0.269,3.552,0.065,40.6,1.8,0.889,0.09,40.7,7.2,1.27,0.26,,,,,,
g100,F814W,0.513,0.0,0.144,0.0,0.342,2.012,0.017,17.1,0.3,,,,,,,1.616,0.023,13.2,0.3,0.67,0.02
g102,F814W,0.28,0.194,0.317,0.0,0.208,3.251,0.0,15.6,0.4,0.374,0.01,382.4,18.2,0.8,0.07,1.965,0.025,48.0,1.4,0.36,0.02
g103,F814W,0.601,0.017,0.021,0.0,0.361,3.784,0.012,50.7,0.4,0.622,0.054,29.7,3.6,0.89,0.13,1.92,0.053,9.9,0.9,0.25,0.0
g104,F814W,0.162,0.246,0.0,0.0,0.592,3.043,0.088,8.0,0.9,1.728,0.015,31.3,0.5,0.53,0.01,,,,,,
g107,F814W,0.824,0.017,0.0,0.0,0.159,1.393,0.003,105.4,0.8,0.139,0.007,186.0,15.6,0.25,0.0,,,,,,
g108,F814W,0.295,0.596,0.0,0.0,0.11,5.015,0.054,8.6,0.3,1.547,0.023,53.7,1.5,3.11,0.04,,,,,,
g111,F814W,0.744,0.001,0.0,0.038,0.217,3.301,0.023,78.3,1.1,0.025,658.259,1648.6,61588970.9,0.43,18288.18,,,,,,
g112,F814W,0.732,0.048,0.0,0.0,0.22,4.598,0.021,31.2,0.4,1.269,0.037,22.0,0.9,1.0,0.0,,,,,,
g113,F814W,0.709,0.0,0.119,0.0,0.172,3.41,0.019,27.4,0.3,,,,,,,1.735,0.054,16.3,1.0,1.86,0.09
g114,F814W,0.559,0.029,0.0,0.0,0.412,2.382,0.016,45.4,0.6,0.433,0.027,46.9,3.9,1.0,0.0,,,,,,
g116,F814W,0.346,0.218,0.314,0.0,0.122,3.557,0.026,18.7,0.4,0.33,0.003,834.1,11.7,0.7,0.02,2.649,0.018,43.8,0.5,0.5,0.01
g118,F814W,0.3,0.361,0.0,0.0,0.339,2.525,0.037,29.4,1.6,1.543,0.037,40.3,1.7,2.9,0.06,,,,,,
g119,F814W,0.243,0.117,0.0,0.23,0.41,3.925,0.083,16.0,1.1,1.498,0.025,65.4,1.7,0.39,0.02,,,,,,
g120,F814W,0.377,0.204,0.0,0.0,0.419,3.328,0.103,22.8,1.5,1.021,0.021,95.1,3.2,0.41,0.04,,,,,,
g121,F814W,0.651,0.102,0.0,0.0,0.247,3.534,0.058,29.5,3.1,1.933,0.934,5.9,3.5,2.07,0.56,,,,,,
g123,F814W,0.556,0.178,0.16,0.0,0.106,2.254,0.001,115.5,0.2,0.28,0.001,976.4,4.3,1.35,0.01,1.195,0.002,144.2,0.7,0.48,0.0
g124,F814W,0.682,0.029,0.0,0.0,0.288,2.167,0.013,65.8,1.0,0.286,0.015,120.7,12.1,0.83,0.17,,,,,,
