Galaxy,Filter,D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err
EGS23205,F200W,0.419,0.109,0.148,0.0,0.323,3.394,0.027,149.0,2.3,0.497,0.007,797.6,23.5,1.78,0.05,2.267,0.012,167.5,1.6,0.4,0.01
EGS23205,F277W,0.331,0.084,0.262,0.0,0.324,2.846,0.022,239.2,4.8,0.523,0.004,1238.6,19.2,0.67,0.02,2.662,0.015,286.3,2.4,0.77,0.01
EGS23205,F356W,0.418,0.091,0.243,0.0,0.248,2.694,0.014,496.4,4.6,0.503,0.004,2171.4,37.3,0.68,0.03,2.45,0.011,520.3,3.8,0.57,0.01
EGS23205,F410M,0.358,0.093,0.279,0.0,0.269,2.88,0.016,441.7,6.7,0.491,0.006,2750.9,75.2,1.17,0.06,2.451,0.011,774.0,5.1,0.61,0.01
EGS23205,F444W,0.398,0.102,0.246,0.0,0.254,2.588,0.014,659.1,6.9,0.476,0.005,3376.5,70.0,0.73,0.05,2.42,0.012,780.9,5.2,0.48,0.01
EGS23259,F115W,0.49,0.127,0.0,0.0,0.383,4.544,0.051,23.3,0.5,0.661,0.01,142.6,4.1,1.41,0.04,,,,,,
EGS23259,F150W,0.513,0.153,0.0,0.0,0.333,4.474,0.04,37.4,0.7,0.776,0.01,188.6,4.4,1.51,0.03,,,,,,
EGS23259,F200W,0.418,0.195,0.0,0.0,0.387,3.319,0.027,72.3,1.4,0.806,0.006,342.4,4.3,1.14,0.02,,,,,,
EGS24154,F115W,0.433,0.07,0.272,0.0,0.225,4.44,0.031,53.9,0.9,0.253,0.002,1686.2,28.7,0.65,0.02,2.706,0.007,106.2,0.4,0.31,0.0
EGS24154,F150W,0.395,0.088,0.243,0.0,0.275,4.463,0.028,73.2,1.2,0.307,0.003,1458.3,28.8,1.56,0.04,2.6,0.009,151.5,0.7,0.38,0.0
EGS24154,F200W,0.36,0.1,0.237,0.0,0.304,4.484,0.024,96.4,1.5,0.371,0.003,1682.0,23.2,1.06,0.03,2.667,0.009,223.8,1.2,0.38,0.0
EGS24154,F277W,0.221,0.121,0.251,0.0,0.406,4.973,0.064,65.7,2.6,0.515,0.004,1719.3,20.1,0.69,0.02,2.802,0.013,297.7,2.4,0.38,0.01
EGS24154,F356W,0.241,0.133,0.224,0.0,0.402,4.382,0.049,98.5,3.4,0.542,0.006,1706.8,29.3,0.83,0.03,2.729,0.017,283.4,3.7,0.4,0.01
EGS24154,F410M,0.288,0.152,0.183,0.0,0.377,3.663,0.04,166.9,6.2,0.553,0.007,1742.2,39.0,1.11,0.04,2.692,0.019,239.5,4.1,0.35,0.01
EGS24154,F444W,0.36,0.147,0.143,0.0,0.35,3.22,0.022,261.9,5.2,0.535,0.004,1818.7,29.2,0.85,0.03,2.74,0.018,196.4,3.3,0.3,0.01
EGS24268,F200W,0.647,0.087,0.0,0.0,0.265,2.342,0.014,156.6,1.8,0.448,0.006,205.6,3.5,1.0,0.0,,,,,,
EGS24268,F277W,0.555,0.196,0.0,0.0,0.249,2.304,0.012,176.2,2.2,0.602,0.004,316.0,2.4,1.0,0.0,,,,,,
EGS24268,F356W,0.522,0.255,0.0,0.0,0.223,1.887,0.009,319.5,4.0,0.52,0.003,736.4,5.0,1.0,0.0,,,,,,
EGS24268,F410M,0.515,0.264,0.0,0.0,0.222,1.618,0.012,511.8,9.8,0.436,0.004,1240.9,15.3,1.0,0.0,,,,,,
EGS24268,F444W,0.461,0.338,0.0,0.0,0.201,2.029,0.011,314.0,4.6,0.516,0.003,1203.2,6.7,1.0,0.0,,,,,,
EGS25604,F115W,0.405,0.357,0.0,0.0,0.238,3.204,0.03,71.5,1.7,0.801,0.011,400.4,10.7,2.51,0.04,,,,,,
EGS25604,F150W,0.415,0.352,0.0,0.0,0.233,3.04,0.021,146.7,2.4,0.736,0.006,836.8,12.1,2.01,0.02,,,,,,
EGS25604,F200W,0.437,0.358,0.0,0.0,0.206,3.029,0.013,244.0,2.7,0.763,0.005,1182.1,14.1,2.15,0.02,,,,,,
EGS25604,F277W,0.444,0.339,0.0,0.0,0.217,2.678,0.014,491.5,6.8,0.814,0.004,1952.6,18.0,1.05,0.01,,,,,,
EGS25604,F356W,0.401,0.376,0.0,0.0,0.223,2.591,0.014,556.6,8.2,0.812,0.004,2411.8,22.8,1.21,0.02,,,,,,
EGS25604,F410M,0.38,0.399,0.0,0.0,0.221,2.488,0.012,633.2,8.3,0.772,0.004,2968.8,27.0,1.49,0.02,,,,,,
EGS25604,F444W,0.383,0.403,0.0,0.0,0.214,2.512,0.015,681.0,11.8,0.741,0.004,3547.0,41.0,1.43,0.02,,,,,,
EGS25879,F115W,0.537,0.24,0.0,0.0,0.223,5.195,0.052,72.1,1.3,1.126,0.008,327.4,2.6,1.0,0.0,,,,,,
EGS25879,F150W,0.495,0.231,0.0,0.0,0.274,4.397,0.038,145.9,2.7,1.131,0.008,483.5,3.3,1.0,0.0,,,,,,
EGS25879,F200W,0.426,0.218,0.0,0.0,0.356,4.421,0.035,188.7,3.8,1.297,0.007,758.4,4.7,1.0,0.0,,,,,,
EGS25879,F277W,0.301,0.276,0.0,0.0,0.424,4.832,0.083,180.9,9.3,1.418,0.029,771.3,24.6,1.31,0.04,,,,,,
EGS25879,F356W,0.287,0.29,0.0,0.0,0.424,4.85,0.092,209.5,12.2,1.555,0.038,921.4,36.9,1.43,0.05,,,,,,
EGS25879,F410M,0.262,0.317,0.0,0.0,0.421,5.027,0.078,211.5,10.1,1.545,0.025,1093.0,28.6,1.56,0.03,,,,,,
EGS25879,F444W,0.253,0.347,0.0,0.0,0.4,5.083,0.116,203.6,14.6,1.561,0.034,1075.5,36.2,1.59,0.04,,,,,,
EGS26748,F115W,0.487,0.018,0.0,0.0,0.494,2.485,0.014,59.7,0.4,0.179,0.004,498.9,27.6,0.5,0.0,,,,,,
EGS26748,F150W,0.543,0.026,0.0,0.0,0.431,2.409,0.012,93.5,0.6,0.238,0.006,407.8,17.0,1.0,0.0,,,,,,
EGS26748,F200W,0.603,0.036,0.0,0.0,0.361,2.541,0.01,114.4,0.6,0.346,0.005,320.4,8.0,1.0,0.0,,,,,,
EGS26748,F277W,0.566,0.052,0.0,0.0,0.382,2.163,0.01,172.9,1.7,0.559,0.008,197.9,6.0,0.8,0.05,,,,,,
EGS26748,F356W,0.591,0.054,0.0,0.0,0.355,2.102,0.009,201.7,1.5,0.515,0.009,217.6,5.8,1.0,0.0,,,,,,
EGS26748,F410M,0.425,0.07,0.0,0.0,0.505,2.243,0.016,126.5,2.4,0.517,0.007,275.4,3.9,0.5,0.0,,,,,,
EGS26748,F444W,0.537,0.055,0.0,0.0,0.407,1.868,0.012,212.8,2.4,0.462,0.012,225.4,8.0,1.0,0.0,,,,,,
EGS26831,F200W,0.499,0.084,0.233,0.0,0.185,4.896,0.048,43.0,0.8,0.729,0.025,192.8,10.1,1.21,0.06,2.531,0.032,84.2,1.7,0.5,0.0
EGS26831,F277W,0.452,0.135,0.241,0.0,0.171,3.581,0.018,108.6,1.2,0.709,0.006,438.9,5.5,0.56,0.02,2.397,0.018,134.9,1.6,0.25,0.0
EGS26831,F356W,0.395,0.16,0.21,0.0,0.235,3.585,0.019,115.2,1.4,0.731,0.005,587.7,7.7,0.52,0.02,2.437,0.012,161.2,1.7,0.25,0.0
EGS26831,F410M,0.356,0.262,0.172,0.0,0.21,3.777,0.03,106.8,2.1,0.886,0.007,536.9,6.2,0.88,0.02,2.541,0.015,159.5,2.4,0.25,0.0
EGS26831,F444W,0.348,0.273,0.17,0.0,0.208,3.762,0.026,113.9,1.9,0.885,0.005,567.4,5.2,0.83,0.01,2.493,0.015,159.6,2.2,0.25,0.0
EGS27059,F115W,0.702,0.047,0.0,0.0,0.251,3.325,0.011,107.8,0.7,0.581,0.004,182.7,2.0,0.5,0.0,,,,,,
EGS27059,F150W,0.726,0.059,0.0,0.0,0.215,3.071,0.007,187.2,0.8,0.531,0.003,390.9,3.2,0.5,0.0,,,,,,
EGS27059,F200W,0.76,0.065,0.0,0.0,0.175,2.794,0.005,313.5,1.0,0.501,0.002,637.4,6.5,0.53,0.01,,,,,,
EGS27059,F277W,0.779,0.068,0.0,0.0,0.154,2.458,0.005,558.1,2.3,0.624,0.005,494.8,9.2,0.79,0.03,,,,,,
EGS27059,F356W,0.723,0.077,0.0,0.0,0.2,2.522,0.005,602.1,3.8,0.614,0.004,680.3,10.6,0.65,0.03,,,,,,
EGS27059,F410M,0.688,0.091,0.0,0.0,0.222,2.533,0.007,532.1,5.6,0.576,0.019,387.5,21.8,1.69,0.1,,,,,,
EGS27059,F444W,0.625,0.094,0.0,0.0,0.28,2.599,0.01,423.8,6.0,0.59,0.008,453.5,5.2,1.0,0.0,,,,,,
EGS27976,F115W,0.577,0.012,0.0,0.0,0.411,2.111,0.007,107.3,0.5,0.024,0.0,6422.3,94.9,1.0,0.0,,,,,,
EGS27976,F150W,0.608,0.011,0.0,0.0,0.381,1.942,0.005,152.6,0.6,0.055,0.006,1365.0,282.7,1.0,0.0,,,,,,
EGS27976,F200W,0.611,0.016,0.0,0.0,0.373,1.9,0.005,187.1,0.7,0.147,0.006,303.0,22.9,1.0,0.0,,,,,,
EGS27976,F277W,0.671,0.015,0.0,0.0,0.313,1.877,0.005,240.1,1.1,0.323,0.016,69.9,4.8,1.0,0.0,,,,,,
EGS27976,F356W,0.657,0.014,0.0,0.0,0.329,1.771,0.004,272.2,1.2,0.27,0.018,98.2,10.1,1.0,0.0,,,,,,
EGS27976,F410M,0.37,0.279,0.0,0.0,0.35,2.107,0.016,110.2,2.8,1.889,0.012,38.0,0.6,1.0,0.0,,,,,,
EGS27976,F444W,0.653,0.016,0.0,0.0,0.331,1.761,0.005,238.2,1.2,0.301,0.02,76.0,7.6,1.0,0.0,,,,,,
EGS30172,F150W,0.44,0.0,0.34,0.0,0.22,0.586,0.012,333.5,10.9,,,,,,,1.756,0.035,79.9,2.9,0.25,0.0
EGS30172,F200W,0.406,0.0,0.41,0.0,0.184,0.607,0.01,395.2,10.2,,,,,,,1.76,0.019,118.4,2.6,0.25,0.0
EGS30172,F277W,0.457,0.0,0.322,0.0,0.221,0.881,0.014,237.5,9.1,,,,,,,1.362,0.019,131.4,3.5,0.25,0.0
EGS30836,F115W,0.379,0.095,0.16,0.0,0.366,3.158,0.032,50.5,1.2,0.223,0.016,687.9,106.8,6.53,0.49,2.427,0.018,60.6,0.7,0.25,0.0
EGS30836,F150W,0.375,0.083,0.189,0.0,0.354,3.473,0.023,67.5,1.0,0.253,0.002,1430.5,27.8,1.05,0.03,2.418,0.024,94.7,0.8,0.39,0.01
EGS30836,F200W,0.373,0.118,0.185,0.0,0.324,3.48,0.018,86.3,1.0,0.376,0.004,1042.2,24.2,1.33,0.04,2.599,0.021,102.6,1.5,0.47,0.01
EGS30836,F277W,0.328,0.147,0.182,0.0,0.342,3.2,0.026,136.0,2.9,0.519,0.005,1247.4,20.5,0.72,0.02,2.881,0.038,134.7,3.4,0.47,0.02
EGS30836,F356W,0.324,0.148,0.188,0.0,0.34,3.085,0.019,146.0,2.4,0.52,0.005,1571.5,24.9,0.61,0.03,2.62,0.025,163.8,3.1,0.51,0.02
EGS30836,F410M,0.311,0.178,0.169,0.0,0.342,3.083,0.021,145.1,2.6,0.519,0.003,1552.5,23.0,0.74,0.03,3.165,0.025,131.1,2.2,0.36,0.01
EGS30836,F444W,0.309,0.163,0.224,0.0,0.303,3.216,0.03,133.9,3.4,0.499,0.002,1710.5,11.9,0.5,0.0,3.282,0.021,176.6,1.9,0.33,0.01
EGS31125,F200W,0.412,0.306,0.0,0.0,0.282,2.545,0.0,127.3,0.0,0.65,0.005,549.9,8.6,2.06,0.03,,,,,,
EGS31125,F277W,0.389,0.27,0.0,0.0,0.34,2.587,0.0,235.4,0.0,0.822,0.005,773.0,7.7,1.25,0.02,,,,,,
EGS31125,F356W,0.262,0.305,0.0,0.0,0.433,2.587,0.0,255.8,0.0,0.979,0.011,942.7,16.7,1.4,0.02,,,,,,
EGS31125,F410M,0.247,0.322,0.0,0.0,0.43,2.631,0.0,296.0,0.0,0.991,0.004,1309.2,11.3,1.22,0.01,,,,,,
EGS31125,F444W,0.211,0.362,0.0,0.0,0.427,2.927,0.0,218.3,0.0,1.123,0.007,1177.1,12.9,1.35,0.02,,,,,,
EGS31281,F115W,0.464,0.106,0.0,0.0,0.43,3.555,0.036,35.4,0.7,0.541,0.01,130.1,4.5,1.48,0.05,,,,,,
EGS31281,F150W,0.5,0.164,0.0,0.0,0.335,3.537,0.026,65.2,1.1,0.481,0.008,251.3,8.1,2.04,0.05,,,,,,
EGS31281,F200W,0.549,0.167,0.0,0.0,0.284,2.689,0.012,175.2,1.4,0.407,0.003,617.4,8.2,1.41,0.02,,,,,,
EGS31281,F277W,0.61,0.152,0.0,0.0,0.238,1.852,0.01,642.9,5.4,0.513,0.003,958.7,8.3,0.58,0.01,,,,,,
EGS31281,F356W,0.645,0.145,0.0,0.0,0.209,1.725,0.008,892.7,6.8,0.482,0.002,1058.2,11.1,0.59,0.02,,,,,,
EGS31281,F410M,0.636,0.163,0.0,0.0,0.202,1.724,0.011,1009.2,11.3,0.556,0.004,1177.3,13.9,0.64,0.03,,,,,,
EGS31281,F444W,0.637,0.127,0.0,0.0,0.236,1.523,0.007,1343.1,10.4,0.443,0.003,1417.3,11.4,0.5,0.0,,,,,,
EGS31720,F115W,0.522,0.116,0.0,0.0,0.362,2.018,0.014,52.8,0.5,0.383,0.003,144.0,1.5,1.0,0.0,,,,,,
EGS31720,F150W,0.553,0.129,0.0,0.0,0.318,2.217,0.012,65.5,0.7,0.424,0.003,182.5,1.5,1.0,0.0,,,,,,
EGS31720,F200W,0.517,0.152,0.0,0.0,0.331,2.177,0.01,82.1,0.7,0.444,0.002,239.7,1.4,1.0,0.0,,,,,,
EGS31720,F277W,0.478,0.181,0.0,0.0,0.34,2.011,0.01,105.9,1.3,0.586,0.003,205.7,1.3,1.0,0.0,,,,,,
EGS31720,F356W,0.477,0.183,0.0,0.0,0.34,1.918,0.009,130.3,1.4,0.641,0.004,230.9,1.4,1.0,0.0,,,,,,
EGS31720,F410M,0.453,0.171,0.0,0.0,0.376,1.726,0.014,150.5,2.6,0.57,0.005,237.9,2.1,1.0,0.0,,,,,,
EGS31720,F444W,0.467,0.17,0.0,0.0,0.363,1.779,0.014,136.4,2.2,0.524,0.005,228.7,2.3,1.0,0.0,,,,,,
JADES131726,F182M,0.654,0.05,0.0,0.0,0.296,2.198,0.009,448.1,2.7,0.236,0.004,902.8,24.3,1.0,0.0,,,,,,
JADES131726,F210M,0.662,0.055,0.0,0.0,0.283,2.252,0.008,548.9,3.2,0.262,0.004,1020.8,25.3,1.0,0.0,,,,,,
JADES131726,F444W,0.618,0.084,0.0,0.0,0.298,2.144,0.006,914.4,6.7,0.555,0.008,573.5,10.2,1.0,0.0,,,,,,
JADES156224,F182M,0.481,0.172,0.0,0.0,0.348,1.894,0.02,245.4,7.3,0.793,0.012,289.7,3.3,1.0,0.0,,,,,,
JADES156224,F210M,0.48,0.168,0.0,0.0,0.352,1.702,0.017,337.2,9.7,0.743,0.012,358.4,4.3,1.0,0.0,,,,,,
JADES156224,F444W,0.519,0.187,0.0,0.0,0.294,1.554,0.009,1059.7,21.9,0.922,0.009,648.1,6.1,1.0,0.0,,,,,,
JADES158887,F090W,0.423,0.156,0.0,0.0,0.42,2.405,0.043,39.0,1.9,0.916,0.019,29.4,0.5,1.0,0.0,,,,,,
JADES158887,F115W,0.415,0.059,0.0,0.0,0.525,2.113,0.027,83.9,1.5,0.248,0.006,272.6,9.5,1.0,0.0,,,,,,
JADES158887,F150W,0.461,0.078,0.0,0.0,0.461,1.712,0.014,179.5,3.1,0.286,0.006,432.0,12.5,1.0,0.0,,,,,,
JADES158887,F200W,0.491,0.092,0.0,0.0,0.417,1.553,0.009,330.0,4.8,0.3,0.005,689.9,15.9,1.0,0.0,,,,,,
JADES158887,F277W,0.527,0.085,0.0,0.0,0.388,1.559,0.011,599.3,8.1,0.375,0.01,593.5,21.4,1.0,0.0,,,,,,
JADES158887,F335M,0.523,0.089,0.0,0.0,0.388,1.525,0.008,739.9,7.4,0.368,0.007,776.0,20.2,1.0,0.0,,,,,,
JADES158887,F356W,0.522,0.087,0.0,0.0,0.391,1.528,0.009,753.4,10.1,0.36,0.01,804.0,32.9,1.0,0.0,,,,,,
JADES158887,F410M,0.523,0.076,0.0,0.0,0.401,1.444,0.008,778.4,8.1,0.283,0.009,1072.5,52.4,1.0,0.0,,,,,,
JADES158887,F444W,0.52,0.076,0.0,0.0,0.404,1.43,0.008,763.9,8.3,0.276,0.01,1055.9,60.4,1.0,0.0,,,,,,
JADES158906,F090W,0.274,0.0,0.176,0.0,0.55,2.513,0.125,15.1,1.6,,,,,,,2.634,0.06,18.8,0.7,0.37,0.03
JADES158906,F115W,0.328,0.011,0.104,0.0,0.557,2.271,0.047,37.6,1.3,0.025,0.0,4898.9,208.4,1.0,0.0,2.828,0.07,24.0,0.9,0.46,0.04
JADES158906,F150W,0.41,0.015,0.097,0.0,0.478,2.472,0.03,44.9,1.0,0.283,0.022,63.1,7.0,1.0,0.0,2.843,0.048,31.8,0.7,0.28,0.02
JADES158906,F200W,0.362,0.01,0.121,0.0,0.507,2.308,0.034,49.5,1.4,0.025,0.0,5528.2,169.3,1.0,0.0,2.467,0.059,32.6,0.6,0.5,0.0
JADES158906,F277W,0.311,0.004,0.133,0.0,0.552,2.333,0.037,42.9,2.1,0.025,0.0,2413.9,307.5,1.0,0.0,2.096,0.062,38.0,1.2,0.77,0.05
JADES158906,F356W,0.306,0.01,0.156,0.0,0.529,2.36,0.037,41.5,2.1,0.025,0.0,5781.4,300.8,1.0,0.0,2.603,0.046,38.9,0.7,0.57,0.03
JADES158906,F410M,0.259,0.008,0.154,0.0,0.579,2.411,0.107,35.0,5.2,0.025,0.0,5081.4,696.1,1.0,0.0,2.128,0.097,45.3,1.5,0.52,0.05
JADES158906,F444W,0.29,0.014,0.166,0.0,0.53,2.353,0.044,41.4,2.6,0.025,0.0,8596.0,330.1,1.0,0.0,2.884,0.049,39.7,0.8,0.49,0.02
JADES159476,F115W,0.485,0.008,0.0,0.0,0.507,2.868,0.023,69.1,0.8,0.276,0.023,41.6,5.2,0.5,0.0,,,,,,
JADES159476,F150W,0.543,0.012,0.0,0.0,0.445,2.656,0.012,135.9,0.9,0.243,0.01,123.9,8.2,0.5,0.0,,,,,,
JADES159476,F200W,0.559,0.024,0.0,0.0,0.416,2.472,0.008,236.8,1.3,0.315,0.006,214.2,6.4,0.5,0.0,,,,,,
JADES159476,F277W,0.572,0.028,0.0,0.0,0.4,2.368,0.008,373.2,3.7,0.363,0.016,204.1,11.8,1.0,0.0,,,,,,
JADES159476,F356W,0.545,0.037,0.0,0.0,0.418,2.324,0.01,446.0,6.4,0.419,0.021,243.6,15.3,1.0,0.0,,,,,,
JADES159476,F410M,0.569,0.03,0.0,0.0,0.401,2.174,0.007,515.6,4.1,0.127,0.023,2042.4,699.4,1.0,0.0,,,,,,
JADES159476,F444W,0.569,0.027,0.0,0.0,0.403,2.14,0.007,490.8,3.3,0.087,0.02,3670.0,1603.7,1.0,0.0,,,,,,
JADES160443,F150W,0.447,0.315,0.0,0.0,0.238,3.966,0.065,64.3,2.2,1.075,0.009,188.7,1.5,1.0,0.0,,,,,,
JADES160443,F200W,0.515,0.299,0.0,0.0,0.186,3.071,0.026,226.6,4.7,1.009,0.007,419.7,3.0,1.0,0.0,,,,,,
JADES160443,F277W,0.48,0.306,0.0,0.0,0.214,2.314,0.016,649.8,13.2,1.078,0.01,699.9,6.4,1.0,0.0,,,,,,
JADES160443,F356W,0.437,0.339,0.0,0.0,0.224,2.103,0.017,983.2,25.8,1.151,0.011,983.0,9.6,1.0,0.0,,,,,,
JADES160443,F410M,0.442,0.336,0.0,0.0,0.222,1.902,0.013,1292.2,31.7,1.114,0.009,1164.6,8.6,1.0,0.0,,,,,,
JADES160443,F444W,0.376,0.404,0.0,0.0,0.22,2.087,0.019,1048.8,31.6,1.238,0.009,1257.7,9.5,1.0,0.0,,,,,,
JADES164258,F150W,0.509,0.114,0.0,0.0,0.378,3.963,0.059,51.9,1.7,0.755,0.013,134.4,2.6,1.0,0.0,,,,,,
JADES164258,F200W,0.6,0.167,0.0,0.0,0.233,2.807,0.025,215.3,4.7,0.544,0.007,695.9,11.7,1.0,0.0,,,,,,
JADES164258,F277W,0.475,0.258,0.0,0.0,0.267,2.032,0.011,589.8,0.0,0.757,0.01,903.9,17.2,1.0,0.0,,,,,,
JADES164258,F335M,0.506,0.27,0.0,0.0,0.224,1.66,0.02,1343.1,50.4,0.856,0.013,1043.3,14.7,1.0,0.0,,,,,,
JADES164258,F356W,0.404,0.288,0.0,0.0,0.309,1.66,0.0,1188.9,50.1,0.84,0.014,1275.9,28.0,1.0,0.0,,,,,,
JADES168076,F090W,0.603,0.086,0.0,0.0,0.31,2.122,0.019,84.6,1.5,0.652,0.018,42.2,1.4,1.0,0.0,,,,,,
JADES168076,F115W,0.66,0.077,0.0,0.0,0.263,2.05,0.01,177.4,1.7,0.33,0.006,211.1,5.6,1.0,0.0,,,,,,
JADES168076,F150W,0.605,0.103,0.0,0.0,0.293,2.049,0.008,270.0,2.6,0.533,0.007,297.8,4.6,1.0,0.0,,,,,,
JADES168076,F200W,0.654,0.09,0.0,0.0,0.256,1.926,0.006,507.5,3.8,0.469,0.007,511.9,9.6,1.0,0.0,,,,,,
JADES168076,F277W,0.567,0.126,0.0,0.0,0.307,2.079,0.008,625.0,8.5,0.724,0.01,320.6,5.3,1.0,0.0,,,,,,
JADES168076,F356W,0.553,0.141,0.0,0.0,0.306,2.045,0.008,759.3,11.6,0.767,0.011,333.3,5.3,1.0,0.0,,,,,,
JADES168076,F410M,0.542,0.138,0.0,0.0,0.32,2.064,0.007,713.6,9.4,0.774,0.009,302.4,3.8,1.0,0.0,,,,,,
JADES168076,F444W,0.555,0.138,0.0,0.0,0.307,2.032,0.007,700.4,8.7,0.772,0.008,290.4,3.4,1.0,0.0,,,,,,
JADES169951,F090W,0.338,0.01,0.258,0.0,0.395,2.362,0.053,26.8,1.6,0.024,0.0,2403.4,106.8,1.0,0.0,2.308,0.026,23.7,0.6,0.66,0.02
JADES169951,F115W,0.393,0.007,0.236,0.0,0.364,2.347,0.032,39.8,1.4,0.024,0.0,2364.9,85.5,1.0,0.0,2.141,0.016,35.2,0.5,0.6,0.01
JADES169951,F150W,0.426,0.006,0.254,0.0,0.314,2.252,0.022,55.2,1.4,0.024,0.012,2539.3,2522.3,1.0,0.0,2.166,0.013,44.9,0.5,0.61,0.01
JADES169951,F200W,0.441,0.009,0.258,0.0,0.292,2.27,0.019,66.4,1.4,0.138,0.015,128.0,22.2,1.0,0.0,2.082,0.008,57.5,0.5,0.54,0.01
JADES169951,F277W,0.327,0.006,0.364,0.0,0.303,2.315,0.039,50.5,3.0,0.024,0.0,3278.9,195.1,1.0,0.0,2.19,0.012,65.9,0.8,0.61,0.01
JADES169951,F356W,0.391,0.008,0.311,0.0,0.29,2.177,0.022,75.4,2.5,0.024,0.0,4471.6,239.3,1.0,0.0,2.112,0.008,72.9,0.8,0.5,0.01
JADES169951,F410M,0.406,0.011,0.284,0.0,0.3,2.008,0.022,82.2,2.7,0.024,0.0,5566.9,239.8,1.0,0.0,2.132,0.009,68.2,0.8,0.38,0.01
JADES169951,F444W,0.353,0.012,0.319,0.0,0.316,2.209,0.023,53.8,1.8,0.024,0.0,5770.9,170.4,1.0,0.0,2.102,0.006,68.7,0.6,0.41,0.01
JADES188157,F090W,0.452,0.258,0.0,0.0,0.29,2.943,0.066,69.5,3.8,1.21,0.016,137.5,2.0,0.5,0.0,,,,,,
JADES188157,F115W,0.593,0.101,0.0,0.0,0.306,2.859,0.034,172.2,5.1,0.435,0.013,471.5,20.9,1.0,0.0,,,,,,
JADES188157,F150W,0.598,0.108,0.0,0.0,0.293,2.577,0.021,318.4,6.6,0.47,0.01,656.5,18.2,1.0,0.0,,,,,,
JADES188157,F182M,0.643,0.128,0.0,0.0,0.228,2.47,0.013,453.4,6.4,0.617,0.022,449.4,25.2,1.77,0.08,,,,,,
JADES188157,F200W,0.568,0.142,0.0,0.0,0.29,2.56,0.016,420.1,7.2,0.568,0.013,754.7,32.8,1.29,0.06,,,,,,
JADES188157,F210M,0.63,0.103,0.0,0.0,0.266,2.239,0.01,634.6,7.1,0.431,0.005,1182.3,16.0,1.0,0.0,,,,,,
JADES188157,F277W,0.584,0.143,0.0,0.0,0.273,2.268,0.016,813.4,20.5,0.681,0.024,987.6,49.3,0.8,0.06,,,,,,
JADES188157,F356W,0.524,0.153,0.0,0.0,0.323,2.34,0.022,790.7,30.6,0.636,0.037,1456.0,101.3,0.67,0.08,,,,,,
JADES188157,F410M,0.45,0.206,0.0,0.0,0.344,2.457,0.022,599.9,21.6,0.736,0.021,1366.9,56.2,0.91,0.05,,,,,,
JADES188157,F444W,0.348,0.221,0.0,0.0,0.431,2.729,0.043,355.5,23.9,0.728,0.022,1469.8,69.6,0.87,0.06,,,,,,
JADES188429,F200W,0.467,0.12,0.138,0.0,0.275,2.761,0.025,108.0,2.7,0.35,0.004,774.8,13.4,1.0,0.0,1.925,0.03,114.8,2.1,0.25,0.0
JADES188429,F210M,0.387,0.128,0.161,0.0,0.325,2.462,0.047,119.2,5.5,0.329,0.006,939.0,21.7,1.0,0.0,1.868,0.034,142.8,3.4,0.25,0.0
JADES188429,F277W,0.371,0.174,0.197,0.0,0.258,2.174,0.02,225.7,6.8,0.477,0.01,1029.7,24.2,1.0,0.0,1.843,0.029,302.8,6.8,0.25,0.0
JADES188429,F335M,0.318,0.211,0.234,0.0,0.237,2.088,0.017,233.2,6.5,0.515,0.009,1329.5,23.5,1.0,0.0,1.847,0.021,417.4,9.4,0.3,0.01
JADES188429,F356W,0.281,0.238,0.218,0.0,0.263,2.091,0.023,240.4,7.7,0.544,0.011,1478.9,31.2,1.0,0.0,1.76,0.022,448.9,11.0,0.25,0.0
JADES188429,F410M,0.251,0.263,0.241,0.0,0.245,2.038,0.028,262.7,8.8,0.536,0.007,1947.9,29.6,1.0,0.0,1.801,0.015,566.6,10.4,0.25,0.0
JADES188429,F444W,0.256,0.269,0.237,0.0,0.239,1.997,0.032,305.8,10.2,0.556,0.008,2075.4,37.0,1.0,0.0,1.758,0.022,627.1,14.9,0.28,0.02
