Galaxy,Filter,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,S/T,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
EGS13670,F115W,19.4,10.5,-0.1,13.9,141.2,23.9,0.471,1.581,0.178,11.151,0.438,7.851,2.539,0.66,0.3,-0.1,0.28,0.832
EGS13670,F150W,21.4,9.1,-3.7,11.8,151.7,28.3,0.416,1.676,0.343,11.227,0.385,5.935,1.675,0.61,0.45,-0.12,0.29,0.838
EGS13670,F200W,21.7,9.7,-0.8,8.7,161.5,30.4,0.378,1.957,0.336,12.162,0.682,3.337,0.634,0.82,0.86,-0.25,0.26,0.809
EGS13670,F277W,17.1,2.8,4.6,26.4,189.5,19.6,0.415,2.123,0.068,14.272,1.283,2.255,0.852,1.48,1.81,-0.16,0.11,0.72
EGS13670,F356W,16.4,1.5,5.9,21.5,195.0,19.3,0.404,2.015,0.363,12.88,0.578,2.85,1.288,0.77,0.51,0.2,0.11,0.723
EGS13670,F410M,14.2,3.5,3.1,23.5,193.2,24.4,0.426,2.135,0.082,13.243,0.617,3.741,3.635,1.45,1.71,-0.21,0.12,0.706
EGS13670,F444W,16.9,2.0,3.9,26.5,186.9,17.6,0.416,2.056,0.174,12.951,0.601,2.203,0.753,1.71,2.15,-0.09,0.09,0.724
EGS14565,F115W,16.1,1.7,-1.8,7.7,270.3,98.3,0.49,1.873,0.464,12.74,0.367,9.875,0.023,1.27,0.68,0.34,0.16,0.638
EGS14565,F150W,17.9,5.1,-1.2,9.8,294.9,83.4,0.433,1.843,0.412,14.014,0.0,13.387,4.298,1.22,0.72,0.31,0.23,0.622
EGS14565,F200W,17.1,3.8,-3.9,11.8,250.3,58.7,0.364,1.886,0.351,14.791,0.0,14.959,12.067,1.59,1.03,-0.07,0.43,0.739
EGS14565,F277W,19.4,4.3,-2.8,11.4,294.2,73.0,0.403,2.575,0.171,14.258,0.219,9.59,4.03,1.85,1.22,-0.05,0.23,0.602
EGS14565,F410M,19.0,6.2,-7.0,10.4,251.0,60.5,0.33,2.227,0.318,14.769,0.363,11.72,9.07,1.0,0.49,0.18,0.31,0.701
EGS14565,F444W,19.9,4.3,-3.0,8.5,260.5,57.9,0.328,2.391,0.251,14.984,0.0,5.243,2.404,1.07,0.44,0.06,0.2,0.666
EGS21378,F150W,12.0,0.0,1.5,0.0,269.3,0.0,0.379,1.476,0.0,6.213,0.481,16.342,0.0,0.74,0.0,0.5,0.0,0.642
EGS21378,F200W,9.2,0.0,0.7,0.0,278.7,0.0,0.227,1.547,0.0,5.218,0.11,25.974,0.0,0.78,0.0,0.5,0.0,0.563
EGS21378,F277W,13.6,0.0,-6.7,0.0,303.4,0.0,0.202,2.146,0.0,3.573,0.0,1.548,0.0,0.42,0.0,0.5,0.0,0.6
EGS21891,F115W,18.4,11.3,22.8,27.1,144.1,47.4,0.382,1.656,0.891,9.357,0.159,6.752,2.601,6.52,7.05,-0.04,0.15,0.549
EGS21891,F150W,23.7,7.2,23.2,29.1,123.6,39.4,0.305,1.351,0.586,10.028,0.201,4.831,1.366,10.04,7.14,0.02,0.32,0.62
EGS21891,F200W,21.2,7.2,17.5,15.9,146.4,43.7,0.371,1.507,0.537,8.552,0.132,6.528,2.957,8.04,5.0,-0.04,0.33,0.52
EGS21891,F277W,19.0,6.2,12.7,10.4,164.5,46.3,0.457,1.948,0.718,10.624,0.836,8.355,4.911,7.51,5.37,-0.07,0.23,0.384
EGS21891,F356W,18.2,11.3,12.3,14.7,153.3,42.3,0.382,1.845,0.543,9.481,0.162,7.493,2.859,7.93,5.59,-0.16,0.15,0.441
EGS21891,F410M,15.4,14.6,18.4,21.6,155.1,53.4,0.363,1.327,0.586,8.652,0.317,3.737,1.457,6.12,4.13,0.03,0.33,0.538
EGS21891,F444W,16.2,14.4,21.7,25.8,148.4,44.4,0.36,1.475,0.639,9.953,0.287,3.576,1.82,5.3,4.87,0.12,0.4,0.521
EGS22339,F115W,14.2,4.8,-4.7,2.0,314.5,113.7,0.301,2.506,0.628,14.076,0.25,29.357,16.471,7.16,6.44,0.0,0.0,0.681
EGS22339,F150W,14.7,5.2,-3.8,3.1,320.3,129.8,0.323,3.355,0.784,15.205,0.252,33.562,6.494,3.9,3.43,0.0,0.0,0.592
EGS22339,F200W,12.2,6.8,-3.5,1.2,278.9,105.9,0.253,3.279,0.529,13.745,0.225,38.323,0.0,3.09,2.23,0.0,0.0,0.615
EGS22339,F277W,15.5,4.6,-3.1,1.9,294.2,137.8,0.186,3.487,0.107,14.436,0.241,25.731,11.087,1.04,0.2,0.0,0.0,0.659
EGS22339,F356W,12.6,2.7,-4.3,0.3,294.2,138.1,0.184,3.327,0.195,11.643,0.0,23.227,11.99,1.59,0.6,0.0,0.0,0.671
EGS22339,F410M,13.4,3.2,-1.3,3.1,295.8,140.0,0.18,3.426,0.0,13.024,0.26,21.554,12.754,1.37,0.34,0.0,0.0,0.673
EGS22339,F444W,14.4,4.2,0.9,5.3,294.7,138.0,0.184,3.472,0.0,14.156,0.287,20.576,14.222,1.17,0.3,0.0,0.0,0.664
EGS22922,F115W,25.1,11.1,-49.6,22.2,169.8,11.2,0.394,1.947,0.982,10.19,0.0,7.076,0.441,3.04,2.84,0.03,0.44,0.754
EGS22922,F150W,23.2,9.4,-52.4,41.5,142.6,25.9,0.405,1.873,0.674,10.088,0.0,21.038,19.782,2.14,2.18,-0.2,0.13,0.716
EGS22922,F200W,23.1,6.8,-48.6,36.5,138.4,21.4,0.386,2.163,0.553,10.075,0.216,20.408,18.094,1.02,0.82,0.13,0.09,0.713
EGS22922,F277W,16.6,2.4,-6.4,2.5,118.0,0.7,0.272,2.982,1.125,9.827,0.185,17.703,18.73,0.88,0.64,0.5,0.0,0.804
EGS22922,F356W,12.9,0.1,6.5,2.0,114.4,6.7,0.263,3.319,1.033,10.119,0.238,17.902,19.793,0.62,0.31,0.46,0.05,0.825
EGS22922,F410M,12.9,5.8,5.7,8.3,124.0,13.3,0.264,2.844,1.209,10.952,0.0,17.107,18.269,0.71,0.42,0.1,0.49,0.872
EGS22922,F444W,35.6,4.0,-33.0,4.6,164.3,6.2,0.406,2.323,0.548,11.056,0.0,17.195,12.822,0.51,0.16,0.23,0.24,0.651
EGS23205,F200W,12.0,1.6,0.6,0.1,208.0,1.7,0.323,2.084,0.971,12.612,0.0,11.998,8.371,6.59,2.48,-0.11,0.11,0.422
EGS23205,F277W,9.7,2.0,5.3,4.7,184.8,3.8,0.324,2.427,0.561,9.932,0.182,18.87,14.604,2.13,0.11,-0.34,0.16,0.417
